maxAge,endDate,netIncome,changeToLiabilities,symbol,investments,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,repurchaseOfStock,issuanceOfStock,capitalExpenditures
1,,"-269,000,000","130,000,000",ALL,"1,445,000,000","737,000,000","1,000,000","-2,055,000,000","407,000,000","39,000,000",,"1,357,000,000","135,000,000",,"-196,000,000","26,000,000","-241,000,000","1,057,000,000","-1,241,000,000","7,000,000","-82,000,000"
1,1538265600,870000000,574000000,ALL,-1022000000,-1145000000,1000000,-612000000,377000000,-29000000,,1728000000,128000000,,-199000000,-237000000,-227000000,-14000000,-224000000,38000000,-67000000
1,2018-09-30,870M,574M,ALL,-1.02B,-1.15B,1M,-612M,377M,-29M,,1.73B,128M,,-199M,-237M,-227M,-14M,-224M,38M,-67M
1,,"870,000,000","574,000,000",ALL,"-1,022,000,000","-1,145,000,000","1,000,000","-612,000,000","377,000,000","-29,000,000",,"1,728,000,000","128,000,000",,"-199,000,000","-237,000,000","-227,000,000","-14,000,000","-224,000,000","38,000,000","-67,000,000"
1,1561852800,277000000,-125000000,AON,-147000000,-195000000,1154000000,-92000000,27000000,-19000000,-19000000,287000000,137000000,,-107000000,-19000000,-84000000,98000000,-1055000000,,-49000000
1,2019-06-30,277M,-125M,AON,-147M,-195M,1.15B,-92M,27M,-19M,-19M,287M,137M,,-107M,-19M,-84M,98M,-1.05B,,-49M
1,,"277,000,000","-125,000,000",AON,"-147,000,000","-195,000,000","1,154,000,000","-92,000,000","27,000,000","-19,000,000","-19,000,000","287,000,000","137,000,000",,"-107,000,000","-19,000,000","-84,000,000","98,000,000","-1,055,000,000",,"-49,000,000"
1,1553990400,659000000,-454000000,AON,39000000,-27000000,177000000,-140000000,-5000000,-56000000,37000000,74000000,137000000,,-96000000,-458000000,-121000000,77000000,-100000000,,-57000000
1,2019-03-31,659M,-454M,AON,39M,-27M,177M,-140M,-5M,-56M,37M,74M,137M,,-96M,-458M,-121M,77M,-100M,,-57M
1,,"659,000,000","-454,000,000",AON,"39,000,000","-27,000,000","177,000,000","-140,000,000","-5,000,000","-56,000,000","37,000,000","74,000,000","137,000,000",,"-96,000,000","-458,000,000","-121,000,000","77,000,000","-100,000,000",,"-57,000,000"
1,1546214400,345000000,356000000,AON,18000000,-53000000,-125000000,-444000000,-164000000,172000000,-42000000,711000000,165000000,,-97000000,-116000000,-24000000,-46000000,-198000000,,-61000000
1,2018-12-31,345M,356M,AON,18M,-53M,-125M,-444M,-164M,172M,-42M,711M,165M,,-97M,-116M,-24M,-46M,-198M,,-61M
1,,"345,000,000","356,000,000",AON,"18,000,000","-53,000,000","-125,000,000","-444,000,000","-164,000,000","172,000,000","-42,000,000","711,000,000","165,000,000",,"-97,000,000","-116,000,000","-24,000,000","-46,000,000","-198,000,000",,"-61,000,000"
1,1538265600,147000000,164000000,AON,-18000000,-95000000,-63000000,-457000000,-299000000,-3000000,-13000000,562000000,141000000,,-98000000,360000000,5000000,42000000,-301000000,,-68000000
1,2018-09-30,147M,164M,AON,-18M,-95M,-63M,-457M,-299M,-3M,-13M,562M,141M,,-98M,360M,5M,42M,-301M,,-68M
1,,"147,000,000","164,000,000",AON,"-18,000,000","-95,000,000","-63,000,000","-457,000,000","-299,000,000","-3,000,000","-13,000,000","562,000,000","141,000,000",,"-98,000,000","360,000,000","5,000,000","42,000,000","-301,000,000",,"-68,000,000"
1,1561852800,110100000,-17400000,AJG,-300000,-591500000,195100000,112700000,133200000,5800000,-31200000,515800000,115000000,,-80100000,176600000,-34600000,28200000,,32300000,-36000000
1,2019-06-30,110.1M,-17.4M,AJG,-300k,-591.5M,195.1M,112.7M,133.2M,5.8M,-31.2M,515.8M,115M,,-80.1M,176.6M,-34.6M,28.2M,,32.3M,-36M
1,,"110,100,000","-17,400,000",AJG,"-300,000","-591,500,000","195,100,000","112,700,000","133,200,000","5,800,000","-31,200,000","515,800,000","115,000,000",,"-80,100,000","176,600,000","-34,600,000","28,200,000",,"32,300,000","-36,000,000"
1,1553990400,334100000,-49200000,AJG,-400000,-141300000,574500000,507400000,786100000,304000000,34100000,-96200000,110500000,,-79600000,-1285600000,-20300000,-27600000,,32800000,-39300000
1,2019-03-31,334.1M,-49.2M,AJG,-400k,-141.3M,574.5M,507.4M,786.1M,304M,34.1M,-96.2M,110.5M,,-79.6M,-1.29B,-20.3M,-27.6M,,32.8M,-39.3M
1,,"334,100,000","-49,200,000",AJG,"-400,000","-141,300,000","574,500,000","507,400,000","786,100,000","304,000,000","34,100,000","-96,200,000","110,500,000",,"-79,600,000","-1,285,600,000","-20,300,000","-27,600,000",,"32,800,000","-39,300,000"
1,1546214400,117300000,-62200000,AJG,-15500000,-256500000,98900000,5200000,124600000,-23700000,-32900000,260500000,105900000,,-75600000,-800000,-30100000,27400000,,12000000,-33600000
1,2018-12-31,117.3M,-62.2M,AJG,-15.5M,-256.5M,98.9M,5.2M,124.6M,-23.7M,-32.9M,260.5M,105.9M,,-75.6M,-800k,-30.1M,27.4M,,12M,-33.6M
1,,"117,300,000","-62,200,000",AJG,"-15,500,000","-256,500,000","98,900,000","5,200,000","124,600,000","-23,700,000","-32,900,000","260,500,000","105,900,000",,"-75,600,000","-800,000","-30,100,000","27,400,000",,"12,000,000","-33,600,000"
1,1538265600,127600000,-21400000,AJG,-400000,-208100000,48500000,-44800000,-323200000,-84200000,-22600000,191300000,105100000,,-75300000,315000000,-40200000,-12800000,,22200000,-28100000
1,2018-09-30,127.6M,-21.4M,AJG,-400k,-208.1M,48.5M,-44.8M,-323.2M,-84.2M,-22.6M,191.3M,105.1M,,-75.3M,315M,-40.2M,-12.8M,,22.2M,-28.1M
1,,"127,600,000","-21,400,000",AJG,"-400,000","-208,100,000","48,500,000","-44,800,000","-323,200,000","-84,200,000","-22,600,000","191,300,000","105,100,000",,"-75,300,000","315,000,000","-40,200,000","-12,800,000",,"22,200,000","-28,100,000"
1,1561852800,1150000000,679000000,CB,-1208000000,-1614000000,786000000,199000000,662000000,-25000000,4000000,1386000000,77000000,-406000000,-335000000,-1121000000,62000000,189000000,-374000000,60000000,
1,2019-06-30,1.15B,679M,CB,-1.21B,-1.61B,786M,199M,662M,-25M,4M,1.39B,77M,-406M,-335M,-1.12B,62M,189M,-374M,60M,
1,,"1,150,000,000","679,000,000",CB,"-1,208,000,000","-1,614,000,000","786,000,000","199,000,000","662,000,000","-25,000,000","4,000,000","1,386,000,000","77,000,000","-406,000,000","-335,000,000","-1,121,000,000","62,000,000","189,000,000","-374,000,000","60,000,000",
1,1553990400,1040000000,-228000000,CB,-596000000,-673000000,1000000,-630000000,-44000000,53000000,34000000,1322000000,76000000,-77000000,-336000000,278000000,37000000,-66000000,-367000000,35000000,
1,2019-03-31,1.04B,-228M,CB,-596M,-673M,1M,-630M,-44M,53M,34M,1.32B,76M,-77M,-336M,278M,37M,-66M,-367M,35M,
1,,"1,040,000,000","-228,000,000",CB,"-596,000,000","-673,000,000","1,000,000","-630,000,000","-44,000,000","53,000,000","34,000,000","1,322,000,000","76,000,000","-77,000,000","-336,000,000","278,000,000","37,000,000","-66,000,000","-367,000,000","35,000,000",
1,1546214400,355000000,422000000,CB,-805000000,-808000000,4000000,-567000000,-501000000,183000000,-25000000,1583000000,86000000,-3000000,-336000000,93000000,48000000,1149000000,-312000000,29000000,
1,2018-12-31,355M,422M,CB,-805M,-808M,4M,-567M,-501M,183M,-25M,1.58B,86M,-3M,-336M,93M,48M,1.15B,-312M,29M,
1,,"355,000,000","422,000,000",CB,"-805,000,000","-808,000,000","4,000,000","-567,000,000","-501,000,000","183,000,000","-25,000,000","1,583,000,000","86,000,000","-3,000,000","-336,000,000","93,000,000","48,000,000","1,149,000,000","-312,000,000","29,000,000",
1,1538265600,1231000000,461000000,CB,-1055000000,-867000000,-100000000,-775000000,250000000,56000000,-2000000,1700000000,83000000,188000000,-340000000,55000000,24000000,-338000000,-385000000,26000000,
1,2018-09-30,1.23B,461M,CB,-1.05B,-867M,-100M,-775M,250M,56M,-2M,1.7B,83M,188M,-340M,55M,24M,-338M,-385M,26M,
1,,"1,231,000,000","461,000,000",CB,"-1,055,000,000","-867,000,000","-100,000,000","-775,000,000","250,000,000","56,000,000","-2,000,000","1,700,000,000","83,000,000","188,000,000","-340,000,000","55,000,000","24,000,000","-338,000,000","-385,000,000","26,000,000",
1,1561852800,428000000,179000000,CINF,-149000000,-160000000,5000000,-115000000,112000000,1000000,,276000000,17000000,,-90000000,-136000000,-34000000,-271000000,,4000000,-8000000
1,2019-06-30,428M,179M,CINF,-149M,-160M,5M,-115M,112M,1M,,276M,17M,,-90M,-136M,-34M,-271M,,4M,-8M
1,,"428,000,000","179,000,000",CINF,"-149,000,000","-160,000,000","5,000,000","-115,000,000","112,000,000","1,000,000",,"276,000,000","17,000,000",,"-90,000,000","-136,000,000","-34,000,000","-271,000,000",,"4,000,000","-8,000,000"
1,1553990400,695000000,113000000,CINF,-50000000,-56000000,5000000,-126000000,-156000000,18000000,,200000000,19000000,,-85000000,-95000000,-44000000,-496000000,,3000000,-5000000
1,2019-03-31,695M,113M,CINF,-50M,-56M,5M,-126M,-156M,18M,,200M,19M,,-85M,-95M,-44M,-496M,,3M,-5M
1,,"695,000,000","113,000,000",CINF,"-50,000,000","-56,000,000","5,000,000","-126,000,000","-156,000,000","18,000,000",,"200,000,000","19,000,000",,"-85,000,000","-95,000,000","-44,000,000","-496,000,000",,"3,000,000","-5,000,000"
1,1546214400,-452000000,-75000000,CINF,-64000000,-71000000,2000000,-116000000,217000000,168000000,,355000000,15000000,,-85000000,5000000,-35000000,614000000,,2000000,-6000000
1,2018-12-31,-452M,-75M,CINF,-64M,-71M,2M,-116M,217M,168M,,355M,15M,,-85M,5M,-35M,614M,,2M,-6M
1,,"-452,000,000","-75,000,000",CINF,"-64,000,000","-71,000,000","2,000,000","-116,000,000","217,000,000","168,000,000",,"355,000,000","15,000,000",,"-85,000,000","5,000,000","-35,000,000","614,000,000",,"2,000,000","-6,000,000"
1,1538265600,553000000,13000000,CINF,-107000000,-115000000,-31000000,-152000000,160000000,95000000,,362000000,16000000,,-85000000,15000000,-38000000,-274000000,,2000000,-5000000
1,2018-09-30,553M,13M,CINF,-107M,-115M,-31M,-152M,160M,95M,,362M,16M,,-85M,15M,-38M,-274M,,2M,-5M
1,,"553,000,000","13,000,000",CINF,"-107,000,000","-115,000,000","-31,000,000","-152,000,000","160,000,000","95,000,000",,"362,000,000","16,000,000",,"-85,000,000","15,000,000","-38,000,000","-274,000,000",,"2,000,000","-5,000,000"
1,1561852800,342855000,84106000,RE,-346667000,-257607000,,-64952000,-118359000,77393000,6243000,393709000,,89060000,-56999000,-15211000,803000,11787000,-8756000,,
1,2019-06-30,342.86M,84.11M,RE,-346.67M,-257.61M,,-64.95M,-118.36M,77.39M,6.24M,393.71M,,89.06M,-57M,-15.21M,803k,11.79M,-8.76M,,
1,,"342,855,000","84,106,000",RE,"-346,667,000","-257,607,000",,"-64,952,000","-118,359,000","77,393,000","6,243,000","393,709,000",,"89,060,000","-56,999,000","-15,211,000","803,000","11,787,000","-8,756,000",,
1,1553990400,348900000,135157000,RE,-487442000,-432750000,,-93021000,109577000,-72121000,-6152000,459802000,,54692000,-57137000,-163108000,-8288000,-62478000,-27596000,,
1,2019-03-31,348.9M,135.16M,RE,-487.44M,-432.75M,,-93.02M,109.58M,-72.12M,-6.15M,459.8M,,54.69M,-57.14M,-163.11M,-8.29M,-62.48M,-27.6M,,
1,,"348,900,000","135,157,000",RE,"-487,442,000","-432,750,000",,"-93,021,000","109,577,000","-72,121,000","-6,152,000","459,802,000",,"54,692,000","-57,137,000","-163,108,000","-8,288,000","-62,478,000","-27,596,000",,
1,1546214400,-382274000,177724000,RE,-42527000,-2447000,,-58925000,522908000,16334000,11266000,66440000,,40080000,-56878000,-128425000,-394000,199406000,-1653000,,
1,2018-12-31,-382.27M,177.72M,RE,-42.53M,-2.45M,,-58.92M,522.91M,16.33M,11.27M,66.44M,,40.08M,-56.88M,-128.43M,-394k,199.41M,-1.65M,,
1,,"-382,274,000","177,724,000",RE,"-42,527,000","-2,447,000",,"-58,925,000","522,908,000","16,334,000","11,266,000","66,440,000",,"40,080,000","-56,878,000","-128,425,000","-394,000","199,406,000","-1,653,000",,
1,1538265600,205613000,212771000,RE,-362421000,-279348000,,-101595000,127923000,20268000,-9770000,410981000,,83073000,-52863000,-138201000,1668000,-12643000,-50400000,,
1,2018-09-30,205.61M,212.77M,RE,-362.42M,-279.35M,,-101.59M,127.92M,20.27M,-9.77M,410.98M,,83.07M,-52.86M,-138.2M,1.67M,-12.64M,-50.4M,,
1,,"205,613,000","212,771,000",RE,"-362,421,000","-279,348,000",,"-101,595,000","127,923,000","20,268,000","-9,770,000","410,981,000",,"83,073,000","-52,863,000","-138,201,000","1,668,000","-12,643,000","-50,400,000",,
1,1561852800,186566000,0,GL,-30957000,-50594000,-39425000,-186657000,,21977000,-4124000,263352000,,,-18956000,,-37081000,76786000,-119201000,28006000,-14639000
1,2019-06-30,186.57M,,GL,-30.96M,-50.59M,-39.42M,-186.66M,,21.98M,-4.12M,263.35M,,,-18.96M,,-37.08M,76.79M,-119.2M,28.01M,-14.64M
1,,"186,566,000",0,GL,"-30,957,000","-50,594,000","-39,425,000","-186,657,000",,"21,977,000","-4,124,000","263,352,000",,,"-18,956,000",,"-37,081,000","76,786,000","-119,201,000","28,006,000","-14,639,000"
1,1553990400,185345000,0,GL,-293357000,-305762000,-15345000,-169481000,,-53684000,-1726000,423285000,,,-17696000,,-37136000,237940000,-110896000,11592000,-7015000
1,2019-03-31,185.34M,,GL,-293.36M,-305.76M,-15.35M,-169.48M,,-53.68M,-1.73M,423.29M,,,-17.7M,,-37.14M,237.94M,-110.9M,11.59M,-7.01M
1,,"185,345,000",0,GL,"-293,357,000","-305,762,000","-15,345,000","-169,481,000",,"-53,684,000","-1,726,000","423,285,000",,,"-17,696,000",,"-37,136,000","237,940,000","-110,896,000","11,592,000","-7,015,000"
1,1546214400,164717000,0,GL,-293357000,-305762000,-15345000,-169481000,,-53684000,-1726000,423285000,,,-17696000,,-37136000,237940000,-110896000,11592000,-7015000
1,2018-12-31,164.72M,,GL,-293.36M,-305.76M,-15.35M,-169.48M,,-53.68M,-1.73M,423.29M,,,-17.7M,,-37.14M,237.94M,-110.9M,11.59M,-7.01M
