symbol,endDate,index,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
RE,2019/06/30,84,0.0,0.0,382593000,0,342855000,7535000,406462000,398927000,398927000,0,-8434000,0.0,0.0,0.0,39738000,2026875000,1627948000,1620413000,-16334000,0,342855000,339018000
RE,2019/03/31,87,0.0,0.0,408791000,0,348900000,6652000,429174000,422522000,422522000,0,-7631000,0.0,0.0,0.0,59891000,1966183000,1543661000,1537009000,-13731000,0,348900000,345237000
RE,2018/12/31,90,0.0,0.0,-702298000,0,-382274000,7153000,-683061000,-690214000,-690214000,0,-7984000,0.0,0.0,0.0,-320024000,1798797000,2489011000,2481858000,-12084000,0,-382274000,-378206000
RE,2018/09/30,93,0.0,0.0,197421000,0,205613000,7890000,220012000,212122000,212122000,0,-7901000,0.0,0.0,0.0,-8192000,1951213000,1739091000,1731201000,-14701000,0,205613000,203537000
GL,2019/06/30,96,0.0,0.0,228760000,0,186566000,0,329236000,250192000,250192000,67788000,-21432000,0.0,0.0,0.0,42151000,1130461000,880269000,801225000,-21432000,-43000,186609000,186566000
GL,2019/03/31,99,0.0,0.0,228101000,0,185345000,0,322172000,249379000,249379000,62234000,-21278000,0.0,0.0,0.0,42707000,1119216000,869837000,797044000,-21278000,-49000,185394000,185345000
GL,2018/12/31,102,0.0,0.0,203635000,0,164717000,57381000,297327000,227245000,227245000,2878000,-23610000,0.0,0.0,0.0,38929000,1064737000,837492000,767410000,-22610000,11000,164706000,164717000
GL,2018/09/30,105,0.0,0.0,220330000,0,178724000,57381000,316822000,242763000,242763000,63647000,-22433000,0.0,0.0,0.0,41630000,1083802000,841039000,766980000,-22433000,24000,178700000,178724000
HIG,2019/06/30,108,0.0,0.0,456000000,0,372000000,1141000000,1766000000,519000000,519000000,91000000,-63000000,0.0,0.0,0.0,84000000,5092000000,4573000000,3326000000,-63000000,0,372000000,372000000
HIG,2019/03/31,111,0.0,0.0,775000000,0,630000000,1038000000,1900000000,849000000,849000000,91000000,-64000000,0.0,0.0,0.0,145000000,4940000000,4091000000,3040000000,-74000000,0,630000000,625000000
HIG,2018/12/31,114,0.0,0.0,167000000,0,196000000,1074000000,1331000000,243000000,243000000,91000000,-64000000,0.0,0.0,0.0,-29000000,4627000000,4384000000,3296000000,-76000000,0,196000000,190000000
HIG,2018/09/30,117,0.0,0.0,530000000,0,432000000,1079000000,1701000000,604000000,604000000,91000000,-62000000,0.0,0.0,0.0,103000000,4835000000,4231000000,3134000000,-74000000,5000000,427000000,432000000
MMC,2019/06/30,120,0.0,0.0,550000000,272000000,332000000,0,1882000000,834000000,834000000,1048000000,-141000000,0.0,0.0,0.0,206000000,4349000000,3515000000,2467000000,-284000000,0,344000000,332000000
MMC,2019/03/31,123,0.0,0.0,944000000,77000000,716000000,0,1873000000,1022000000,1022000000,851000000,-120000000,0.0,0.0,0.0,217000000,4071000000,3049000000,2198000000,-78000000,0,727000000,716000000
MMC,2018/12/31,126,0.0,0.0,224000000,73000000,153000000,0,1570000000,642000000,642000000,928000000,-92000000,0.0,0.0,0.0,65000000,3712000000,3070000000,2142000000,-418000000,0,159000000,153000000
MMC,2018/09/30,129,0.0,0.0,385000000,85000000,276000000,0,1484000000,604000000,604000000,880000000,-69000000,0.0,0.0,0.0,106000000,3504000000,2900000000,2020000000,-219000000,0,279000000,276000000
