symbol,date,amount,type
AIG,2007-12-05,0.2,DIVIDEND
TRV,2007-12-06,0.29,DIVIDEND
CB,2007-12-14,0.29,DIVIDEND
CINF,2007-12-19,0.355,DIVIDEND
CB,2007-12-27,0.27,DIVIDEND
WLTW,2007-12-27,0.25,DIVIDEND
AJG,2007-12-27,0.31,DIVIDEND
GL,2008-01-02,0.13,DIVIDEND
LNC,2008-01-08,0.415,DIVIDEND
PGR,2008-01-17,0.145,DIVIDEND
UNM,2008-01-24,0.075,DIVIDEND
MMC,2008-01-24,0.2,DIVIDEND
AON,2008-01-30,0.15,DIVIDEND
AFL,2008-02-15,0.24,DIVIDEND
L,2008-02-28,0.0625,DIVIDEND
HIG,2008-02-28,0.53,DIVIDEND
RE,2008-02-28,0.48,DIVIDEND
AIG,2008-03-05,0.2,DIVIDEND
TRV,2008-03-06,0.29,DIVIDEND
ALL,2008-03-12,0.41,DIVIDEND
CINF,2008-03-18,0.39,DIVIDEND
CB,2008-03-26,0.33,DIVIDEND
WLTW,2008-03-27,0.26,DIVIDEND
AJG,2008-03-27,0.32,DIVIDEND
CB,2008-03-27,0.27,DIVIDEND
GL,2008-04-02,0.14,DIVIDEND
MMC,2008-04-04,0.2,DIVIDEND
LNC,2008-04-07,0.415,DIVIDEND
UNM,2008-04-24,0.075,DIVIDEND
AON,2008-04-29,0.15,DIVIDEND
AFL,2008-05-19,0.24,DIVIDEND
RE,2008-05-21,0.48,DIVIDEND
L,2008-05-21,0.0625,DIVIDEND
ALL,2008-05-28,0.41,DIVIDEND
HIG,2008-05-29,0.53,DIVIDEND
AIG,2008-06-04,0.2,DIVIDEND
TRV,2008-06-06,0.3,DIVIDEND
CINF,2008-06-18,0.39,DIVIDEND
CB,2008-06-25,0.33,DIVIDEND
WLTW,2008-06-26,0.26,DIVIDEND
AJG,2008-06-26,0.32,DIVIDEND
CB,2008-06-26,0.29,DIVIDEND
GL,2008-07-02,0.14,DIVIDEND
MMC,2008-07-03,0.2,DIVIDEND
LNC,2008-07-08,0.415,DIVIDEND
UNM,2008-07-24,0.075,DIVIDEND
AON,2008-07-30,0.15,DIVIDEND
AFL,2008-08-18,0.24,DIVIDEND
RE,2008-08-21,0.48,DIVIDEND
ALL,2008-08-27,0.41,DIVIDEND
L,2008-08-28,0.0625,DIVIDEND
HIG,2008-08-28,0.53,DIVIDEND
AIG,2008-09-03,0.22,DIVIDEND
TRV,2008-09-08,0.3,DIVIDEND
CINF,2008-09-17,0.39,DIVIDEND
CB,2008-09-17,0.33,DIVIDEND
AJG,2008-09-26,0.32,DIVIDEND
WLTW,2008-09-26,0.26,DIVIDEND
GL,2008-10-01,0.14,DIVIDEND
LNC,2008-10-08,0.415,DIVIDEND
CB,2008-10-09,0.26,DIVIDEND
MMC,2008-10-14,0.2,DIVIDEND
CB,2008-10-14,0.26,DIVIDEND
UNM,2008-10-23,0.075,DIVIDEND
AON,2008-10-30,0.15,DIVIDEND
MET,2008-11-06,0.74,DIVIDEND
PFG,2008-11-12,0.45,DIVIDEND
AFL,2008-11-17,0.24,DIVIDEND
PRU,2008-11-20,0.58,DIVIDEND
RE,2008-11-20,0.48,DIVIDEND
ALL,2008-11-25,0.41,DIVIDEND
HIG,2008-11-26,0.32,DIVIDEND
L,2008-11-26,0.0625,DIVIDEND
TRV,2008-12-08,0.3,DIVIDEND
CB,2008-12-17,0.33,DIVIDEND
CINF,2008-12-17,0.39,DIVIDEND
WLTW,2008-12-29,0.26,DIVIDEND
AJG,2008-12-29,0.32,DIVIDEND
GL,2008-12-30,0.14,DIVIDEND
CB,2009-01-06,0.27,DIVIDEND
LNC,2009-01-07,0.21,DIVIDEND
UNM,2009-01-22,0.075,DIVIDEND
MMC,2009-01-28,0.2,DIVIDEND
AON,2009-01-29,0.15,DIVIDEND
AFL,2009-02-13,0.28,DIVIDEND
HIG,2009-02-26,0.05,DIVIDEND
L,2009-02-26,0.0625,DIVIDEND
RE,2009-03-02,0.48,DIVIDEND
TRV,2009-03-06,0.3,DIVIDEND
ALL,2009-03-11,0.2,DIVIDEND
CINF,2009-03-18,0.39,DIVIDEND
CB,2009-03-18,0.35,DIVIDEND
CB,2009-03-27,0.26,DIVIDEND
WLTW,2009-03-27,0.26,DIVIDEND
AJG,2009-03-27,0.32,DIVIDEND
GL,2009-04-01,0.14,DIVIDEND
LNC,2009-04-07,0.01,DIVIDEND
MMC,2009-04-07,0.2,DIVIDEND
UNM,2009-04-23,0.075,DIVIDEND
AON,2009-04-29,0.15,DIVIDEND
AFL,2009-05-18,0.28,DIVIDEND
RE,2009-05-22,0.48,DIVIDEND
ALL,2009-05-27,0.2,DIVIDEND
L,2009-05-28,0.0625,DIVIDEND
HIG,2009-05-28,0.05,DIVIDEND
TRV,2009-06-08,0.3,DIVIDEND
CINF,2009-06-17,0.39,DIVIDEND
CB,2009-06-24,0.35,DIVIDEND
WLTW,2009-06-26,0.26,DIVIDEND
AJG,2009-06-26,0.32,DIVIDEND
GL,2009-07-01,0.14,DIVIDEND
LNC,2009-07-08,0.01,DIVIDEND
MMC,2009-07-08,0.2,DIVIDEND
CB,2009-07-24,0.31,DIVIDEND
UNM,2009-07-29,0.0825,DIVIDEND
AON,2009-07-30,0.15,DIVIDEND
