symbol,date,amount,type
ALL,2014-05-28,0.28,DIVIDEND
GL,2014-05-29,0.19,DIVIDEND
L,2014-05-29,0.0625,DIVIDEND
HIG,2014-05-29,0.15,DIVIDEND
RE,2014-06-02,0.75,DIVIDEND
AJG,2014-06-04,0.36,DIVIDEND
PFG,2014-06-05,0.32,DIVIDEND
CB,2014-06-05,0.0,DIVIDEND
ALL,2014-06-05,0.0,DIVIDEND
AIG,2014-06-06,0.125,DIVIDEND
TRV,2014-06-06,0.55,DIVIDEND
ALL,2014-06-11,0.0,DIVIDEND
CB,2014-06-11,0.0,DIVIDEND
CINF,2014-06-16,0.44,DIVIDEND
CB,2014-06-25,0.5,DIVIDEND
WLTW,2014-06-26,0.3,DIVIDEND
LNC,2014-07-08,0.16,DIVIDEND
MMC,2014-07-09,0.28,DIVIDEND
CB,2014-07-21,0.65,DIVIDEND
UNM,2014-07-24,0.165,DIVIDEND
AON,2014-07-30,0.25,DIVIDEND
MET,2014-08-06,0.35,DIVIDEND
AFL,2014-08-18,0.37,DIVIDEND
PRU,2014-08-22,0.53,DIVIDEND
RE,2014-08-25,0.75,DIVIDEND
ALL,2014-08-27,0.28,DIVIDEND
L,2014-08-27,0.0625,DIVIDEND
HIG,2014-08-28,0.18,DIVIDEND
AJG,2014-09-03,0.36,DIVIDEND
PFG,2014-09-04,0.34,DIVIDEND
TRV,2014-09-08,0.55,DIVIDEND
AIG,2014-09-09,0.125,DIVIDEND
CINF,2014-09-15,0.44,DIVIDEND
CB,2014-09-17,0.5,DIVIDEND
WLTW,2014-09-26,0.3,DIVIDEND
CB,2014-09-26,0.65,DIVIDEND
GL,2014-10-01,0.1267,DIVIDEND
LNC,2014-10-08,0.16,DIVIDEND
MMC,2014-10-08,0.28,DIVIDEND
UNM,2014-10-29,0.165,DIVIDEND
AON,2014-10-30,0.25,DIVIDEND
MET,2014-11-05,0.35,DIVIDEND
AFL,2014-11-17,0.39,DIVIDEND
PRU,2014-11-21,0.58,DIVIDEND
ALL,2014-11-25,0.28,DIVIDEND
L,2014-11-25,0.0625,DIVIDEND
HIG,2014-11-26,0.18,DIVIDEND
RE,2014-12-01,0.95,DIVIDEND
AIG,2014-12-02,0.125,DIVIDEND
AJG,2014-12-03,0.36,DIVIDEND
PFG,2014-12-04,0.34,DIVIDEND
TRV,2014-12-08,0.55,DIVIDEND
CINF,2014-12-15,0.44,DIVIDEND
CB,2014-12-15,0.65,DIVIDEND
CB,2014-12-17,0.5,DIVIDEND
WLTW,2014-12-29,0.3,DIVIDEND
GL,2014-12-31,0.1267,DIVIDEND
LNC,2015-01-08,0.2,DIVIDEND
MMC,2015-01-22,0.28,DIVIDEND
UNM,2015-01-28,0.165,DIVIDEND
AON,2015-01-29,0.25,DIVIDEND
PGR,2015-02-02,0.6859999999999999,DIVIDEND
MET,2015-02-04,0.35,DIVIDEND
AFL,2015-02-12,0.39,DIVIDEND
PRU,2015-02-20,0.58,DIVIDEND
L,2015-02-26,0.0625,DIVIDEND
ALL,2015-02-26,0.3,DIVIDEND
AJG,2015-03-02,0.37,DIVIDEND
HIG,2015-03-05,0.18,DIVIDEND
PFG,2015-03-05,0.36,DIVIDEND
TRV,2015-03-06,0.55,DIVIDEND
RE,2015-03-09,0.95,DIVIDEND
AIG,2015-03-10,0.125,DIVIDEND
CB,2015-03-11,0.57,DIVIDEND
CINF,2015-03-16,0.46,DIVIDEND
CB,2015-03-27,0.65,DIVIDEND
WLTW,2015-03-27,0.31,DIVIDEND
GL,2015-03-31,0.135,DIVIDEND
LNC,2015-04-08,0.2,DIVIDEND
MMC,2015-04-08,0.28,DIVIDEND
UNM,2015-04-23,0.165,DIVIDEND
AON,2015-04-29,0.3,DIVIDEND
MET,2015-05-07,0.375,DIVIDEND
AFL,2015-05-18,0.39,DIVIDEND
PRU,2015-05-21,0.58,DIVIDEND
ALL,2015-05-27,0.3,DIVIDEND
HIG,2015-05-28,0.18,DIVIDEND
L,2015-05-28,0.0625,DIVIDEND
RE,2015-06-01,0.95,DIVIDEND
AJG,2015-06-03,0.37,DIVIDEND
PFG,2015-06-04,0.38,DIVIDEND
TRV,2015-06-08,0.61,DIVIDEND
AIG,2015-06-09,0.125,DIVIDEND
CINF,2015-06-15,0.46,DIVIDEND
CB,2015-06-24,0.57,DIVIDEND
CB,2015-06-26,0.67,DIVIDEND
WLTW,2015-06-26,0.31,DIVIDEND
GL,2015-06-30,0.135,DIVIDEND
MMC,2015-07-08,0.31,DIVIDEND
LNC,2015-07-08,0.2,DIVIDEND
UNM,2015-07-29,0.185,DIVIDEND
AON,2015-07-30,0.3,DIVIDEND
MET,2015-08-05,0.375,DIVIDEND
AFL,2015-08-17,0.39,DIVIDEND
PRU,2015-08-21,0.58,DIVIDEND
RE,2015-08-24,0.95,DIVIDEND
ALL,2015-08-27,0.3,DIVIDEND
L,2015-08-27,0.0625,DIVIDEND
HIG,2015-08-28,0.21,DIVIDEND
PFG,2015-09-02,0.38,DIVIDEND
AJG,2015-09-02,0.37,DIVIDEND
TRV,2015-09-08,0.61,DIVIDEND
AIG,2015-09-10,0.28,DIVIDEND
CINF,2015-09-14,0.46,DIVIDEND
CB,2015-09-17,0.57,DIVIDEND
WLTW,2015-09-28,0.31,DIVIDEND
CB,2015-09-28,0.67,DIVIDEND
GL,2015-09-30,0.135,DIVIDEND
MMC,2015-10-07,0.31,DIVIDEND
LNC,2015-10-07,0.2,DIVIDEND
LNC,2015-10-08,0.2,DIVIDEND
UNM,2015-10-28,0.185,DIVIDEND
AON,2015-10-29,0.3,DIVIDEND
MET,2015-11-04,0.375,DIVIDEND
AFL,2015-11-16,0.41,DIVIDEND
WLTW,2015-11-16,0.31,DIVIDEND
PRU,2015-11-20,0.7,DIVIDEND
L,2015-11-25,0.0625,DIVIDEND
ALL,2015-11-25,0.3,DIVIDEND
HIG,2015-11-27,0.21,DIVIDEND
RE,2015-11-30,1.15,DIVIDEND
CINF,2015-12-01,0.46,DIVIDEND
AJG,2015-12-02,0.37,DIVIDEND
AIG,2015-12-03,0.28,DIVIDEND
PFG,2015-12-03,0.38,DIVIDEND
TRV,2015-12-08,0.61,DIVIDEND
CINF,2015-12-14,0.46,DIVIDEND
CB,2015-12-16,0.57,DIVIDEND
CB,2015-12-29,0.67,DIVIDEND
GL,2016-01-04,0.135,DIVIDEND
LNC,2016-01-07,0.25,DIVIDEND
MMC,2016-01-21,0.31,DIVIDEND
UNM,2016-01-27,0.185,DIVIDEND
AON,2016-01-28,0.3,DIVIDEND
PGR,2016-02-01,0.8882,DIVIDEND
MET,2016-02-03,0.375,DIVIDEND
AFL,2016-02-11,0.41,DIVIDEND
PRU,2016-02-19,0.7,DIVIDEND
ALL,2016-02-25,0.33,DIVIDEND
L,2016-02-26,0.0625,DIVIDEND
AJG,2016-03-02,0.38,DIVIDEND
PFG,2016-03-03,0.38,DIVIDEND
HIG,2016-03-03,0.21,DIVIDEND
RE,2016-03-07,1.15,DIVIDEND
TRV,2016-03-08,0.61,DIVIDEND
AIG,2016-03-10,0.32,DIVIDEND
CINF,2016-03-21,0.48,DIVIDEND
CB,2016-03-29,0.67,DIVIDEND
WLTW,2016-03-29,0.48,DIVIDEND
GL,2016-03-31,0.14,DIVIDEND
MMC,2016-04-06,0.31,DIVIDEND
LNC,2016-04-07,0.25,DIVIDEND
UNM,2016-04-27,0.185,DIVIDEND
AON,2016-04-28,0.33,DIVIDEND
MET,2016-05-05,0.4,DIVIDEND
AFL,2016-05-16,0.41,DIVIDEND
PRU,2016-05-20,0.7,DIVIDEND
L,2016-05-27,0.0625,DIVIDEND
HIG,2016-05-27,0.21,DIVIDEND
RE,2016-05-27,1.15,DIVIDEND
AJG,2016-06-01,0.38,DIVIDEND
ALL,2016-06-01,0.33,DIVIDEND
PFG,2016-06-02,0.39,DIVIDEND
TRV,2016-06-08,0.67,DIVIDEND
AIG,2016-06-09,0.32,DIVIDEND
CINF,2016-06-20,0.48,DIVIDEND
CB,2016-06-28,0.69,DIVIDEND
WLTW,2016-06-28,0.48,DIVIDEND
GL,2016-06-29,0.14,DIVIDEND
LNC,2016-07-07,0.25,DIVIDEND
MMC,2016-07-07,0.34,DIVIDEND
UNM,2016-07-27,0.2,DIVIDEND
AON,2016-07-28,0.33,DIVIDEND
MET,2016-08-04,0.4,DIVIDEND
PRU,2016-08-19,0.7,DIVIDEND
AFL,2016-08-22,0.41,DIVIDEND
L,2016-08-29,0.0625,DIVIDEND
ALL,2016-08-29,0.33,DIVIDEND
HIG,2016-08-30,0.21,DIVIDEND
AJG,2016-08-31,0.38,DIVIDEND
PFG,2016-08-31,0.41,DIVIDEND
RE,2016-09-02,1.15,DIVIDEND
TRV,2016-09-07,0.67,DIVIDEND
AIG,2016-09-13,0.32,DIVIDEND
CINF,2016-09-19,0.48,DIVIDEND
WLTW,2016-09-28,0.48,DIVIDEND
CB,2016-09-28,0.69,DIVIDEND
LNC,2016-10-05,0.25,DIVIDEND
GL,2016-10-05,0.14,DIVIDEND
LNC,2016-10-06,0.25,DIVIDEND
MMC,2016-10-06,0.34,DIVIDEND
MMC,2016-10-10,0.34,DIVIDEND
UNM,2016-10-27,0.2,DIVIDEND
AON,2016-10-28,0.33,DIVIDEND
MET,2016-11-03,0.4,DIVIDEND
AFL,2016-11-14,0.43,DIVIDEND
PRU,2016-11-18,0.7,DIVIDEND
ALL,2016-11-28,0.33,DIVIDEND
RE,2016-11-28,1.25,DIVIDEND
L,2016-11-28,0.0625,DIVIDEND
HIG,2016-11-29,0.23,DIVIDEND
AJG,2016-11-30,0.38,DIVIDEND
PFG,2016-12-01,0.43,DIVIDEND
AIG,2016-12-06,0.32,DIVIDEND
TRV,2016-12-07,0.67,DIVIDEND
CINF,2016-12-19,0.48,DIVIDEND
CB,2016-12-28,0.69,DIVIDEND
WLTW,2016-12-28,0.48,DIVIDEND
GL,2017-01-04,0.14,DIVIDEND
LNC,2017-01-06,0.29,DIVIDEND
MMC,2017-01-23,0.34,DIVIDEND
UNM,2017-01-26,0.2,DIVIDEND
AON,2017-01-30,0.33,DIVIDEND
PGR,2017-02-01,0.6809999999999999,DIVIDEND
MET,2017-02-02,0.4,DIVIDEND
AFL,2017-02-13,0.43,DIVIDEND
PRU,2017-02-17,0.75,DIVIDEND
ALL,2017-02-24,0.37,DIVIDEND
L,2017-02-27,0.0625,DIVIDEND
AJG,2017-03-01,0.39,DIVIDEND
HIG,2017-03-02,0.23,DIVIDEND
PFG,2017-03-02,0.45,DIVIDEND
RE,2017-03-06,1.25,DIVIDEND
TRV,2017-03-08,0.67,DIVIDEND
AIG,2017-03-13,0.32,DIVIDEND
CINF,2017-03-20,0.5,DIVIDEND
CB,2017-03-29,0.69,DIVIDEND
WLTW,2017-03-29,0.53,DIVIDEND
GL,2017-03-30,0.15,DIVIDEND
MMC,2017-04-05,0.34,DIVIDEND
LNC,2017-04-06,0.29,DIVIDEND
UNM,2017-04-26,0.2,DIVIDEND
AON,2017-04-27,0.36,DIVIDEND
MET,2017-05-04,0.4,DIVIDEND
PRU,2017-05-19,0.75,DIVIDEND
AFL,2017-05-22,0.43,DIVIDEND
RE,2017-05-26,1.25,DIVIDEND
L,2017-05-26,0.0625,DIVIDEND
HIG,2017-05-30,0.23,DIVIDEND
AJG,2017-05-31,0.39,DIVIDEND
PFG,2017-06-01,0.46,DIVIDEND
ALL,2017-06-01,0.37,DIVIDEND
AJG,2017-06-02,0.39,DIVIDEND
TRV,2017-06-07,0.72,DIVIDEND
AIG,2017-06-12,0.32,DIVIDEND
CINF,2017-06-19,0.5,DIVIDEND
WLTW,2017-06-28,0.53,DIVIDEND
CB,2017-06-28,0.71,DIVIDEND
GL,2017-06-30,0.15,DIVIDEND
LNC,2017-07-06,0.29,DIVIDEND
MMC,2017-07-07,0.375,DIVIDEND
UNM,2017-07-27,0.23,DIVIDEND
AON,2017-07-28,0.36,DIVIDEND
MET,2017-08-03,0.4,DIVIDEND
PRU,2017-08-18,0.75,DIVIDEND
AFL,2017-08-21,0.43,DIVIDEND
L,2017-08-28,0.0625,DIVIDEND
ALL,2017-08-29,0.37,DIVIDEND
PFG,2017-08-30,0.47,DIVIDEND
HIG,2017-08-30,0.23,DIVIDEND
AJG,2017-08-30,0.39,DIVIDEND
RE,2017-09-01,1.25,DIVIDEND
TRV,2017-09-07,0.72,DIVIDEND
AIG,2017-09-14,0.32,DIVIDEND
CINF,2017-09-21,0.5,DIVIDEND
WLTW,2017-09-28,0.53,DIVIDEND
CB,2017-09-28,0.71,DIVIDEND
GL,2017-10-05,0.15,DIVIDEND
MMC,2017-10-06,0.375,DIVIDEND
LNC,2017-10-06,0.29,DIVIDEND
LNC,2017-10-09,0.29,DIVIDEND
MMC,2017-10-09,0.375,DIVIDEND
UNM,2017-10-27,0.23,DIVIDEND
AON,2017-10-31,0.36,DIVIDEND
MET,2017-11-03,0.4,DIVIDEND
AFL,2017-11-14,0.45,DIVIDEND
PRU,2017-11-24,0.75,DIVIDEND
L,2017-11-28,0.0625,DIVIDEND
RE,2017-11-28,1.3,DIVIDEND
ALL,2017-11-29,0.37,DIVIDEND
AJG,2017-11-30,0.39,DIVIDEND
HIG,2017-11-30,0.25,DIVIDEND
CINF,2017-11-30,0.5,DIVIDEND
PFG,2017-12-01,0.49,DIVIDEND
AIG,2017-12-07,0.32,DIVIDEND
TRV,2017-12-08,0.72,DIVIDEND
CINF,2017-12-19,0.5,DIVIDEND
CB,2017-12-28,0.71,DIVIDEND
WLTW,2017-12-28,0.53,DIVIDEND
GL,2018-01-04,0.15,DIVIDEND
LNC,2018-01-09,0.33,DIVIDEND
UNM,2018-01-26,0.23,DIVIDEND
MMC,2018-01-30,0.375,DIVIDEND
AON,2018-01-31,0.36,DIVIDEND
PGR,2018-02-01,1.1247,DIVIDEND
MET,2018-02-02,0.4,DIVIDEND
AFL,2018-02-20,0.52,DIVIDEND
PRU,2018-02-20,0.9,DIVIDEND
L,2018-02-27,0.0625,DIVIDEND
AJG,2018-03-01,0.41,DIVIDEND
ALL,2018-03-02,0.46,DIVIDEND
HIG,2018-03-02,0.25,DIVIDEND
PFG,2018-03-02,0.51,DIVIDEND
RE,2018-03-06,1.3,DIVIDEND
TRV,2018-03-08,0.72,DIVIDEND
AIG,2018-03-14,0.32,DIVIDEND
CINF,2018-03-20,0.53,DIVIDEND
CB,2018-03-28,0.71,DIVIDEND
WLTW,2018-03-28,0.6,DIVIDEND
GL,2018-04-02,0.16,DIVIDEND
MMC,2018-04-09,0.375,DIVIDEND
LNC,2018-04-09,0.33,DIVIDEND
UNM,2018-04-27,0.23,DIVIDEND
AON,2018-04-30,0.4,DIVIDEND
MET,2018-05-04,0.42,DIVIDEND
PRU,2018-05-21,0.9,DIVIDEND
AFL,2018-05-22,0.26,DIVIDEND
RE,2018-05-29,1.3,DIVIDEND
L,2018-05-29,0.0625,DIVIDEND
ALL,2018-05-30,0.46,DIVIDEND
AJG,2018-05-31,0.41,DIVIDEND
HIG,2018-05-31,0.25,DIVIDEND
PFG,2018-06-01,0.52,DIVIDEND
TRV,2018-06-07,0.77,DIVIDEND
AIG,2018-06-13,0.32,DIVIDEND
CINF,2018-06-19,0.53,DIVIDEND
CB,2018-06-21,0.73,DIVIDEND
WLTW,2018-06-28,0.6,DIVIDEND
GL,2018-07-03,0.16,DIVIDEND
LNC,2018-07-09,0.33,DIVIDEND
MMC,2018-07-10,0.415,DIVIDEND
UNM,2018-07-27,0.26,DIVIDEND
AON,2018-07-31,0.4,DIVIDEND
MET,2018-08-03,0.42,DIVIDEND
AON,2018-08-09,0.4,DIVIDEND
PRU,2018-08-20,0.9,DIVIDEND
AFL,2018-08-21,0.26,DIVIDEND
L,2018-08-28,0.0625,DIVIDEND
ALL,2018-08-30,0.46,DIVIDEND
HIG,2018-08-31,0.3,DIVIDEND
RE,2018-09-04,1.3,DIVIDEND
PFG,2018-09-05,0.53,DIVIDEND
AJG,2018-09-06,0.41,DIVIDEND
TRV,2018-09-07,0.77,DIVIDEND
AIG,2018-09-14,0.32,DIVIDEND
CINF,2018-09-18,0.53,DIVIDEND
CB,2018-09-20,0.73,DIVIDEND
WLTW,2018-09-27,0.6,DIVIDEND
GL,2018-10-04,0.16,DIVIDEND
LNC,2018-10-09,0.33,DIVIDEND
MMC,2018-10-10,0.415,DIVIDEND
UNM,2018-10-26,0.26,DIVIDEND
AON,2018-10-31,0.4,DIVIDEND
MET,2018-11-05,0.42,DIVIDEND
AFL,2018-11-20,0.26,DIVIDEND
PRU,2018-11-23,0.9,DIVIDEND
L,2018-11-27,0.0625,DIVIDEND
RE,2018-11-27,1.4,DIVIDEND
ALL,2018-11-29,0.46,DIVIDEND
PFG,2018-11-30,0.54,DIVIDEND
HIG,2018-11-30,0.3,DIVIDEND
AJG,2018-12-06,0.41,DIVIDEND
TRV,2018-12-07,0.77,DIVIDEND
AIG,2018-12-11,0.32,DIVIDEND
CINF,2018-12-18,0.53,DIVIDEND
CB,2018-12-20,0.73,DIVIDEND
WLTW,2018-12-28,0.6,DIVIDEND
GL,2019-01-03,0.16,DIVIDEND
LNC,2019-01-09,0.37,DIVIDEND
UNM,2019-01-25,0.26,DIVIDEND
MMC,2019-01-29,0.415,DIVIDEND
AON,2019-01-31,0.4,DIVIDEND
PGR,2019-02-01,2.5140000000000002,DIVIDEND
MET,2019-02-04,0.42,DIVIDEND
AFL,2019-02-19,0.27,DIVIDEND
PRU,2019-02-19,1.0,DIVIDEND
L,2019-02-26,0.0625,DIVIDEND
ALL,2019-02-27,0.5,DIVIDEND
AJG,2019-02-28,0.43,DIVIDEND
PFG,2019-03-01,0.54,DIVIDEND
HIG,2019-03-01,0.3,DIVIDEND
RE,2019-03-05,1.4,DIVIDEND
TRV,2019-03-08,0.77,DIVIDEND
AIG,2019-03-14,0.32,DIVIDEND
CINF,2019-03-19,0.56,DIVIDEND
CB,2019-03-21,0.73,DIVIDEND
WLTW,2019-03-28,0.65,DIVIDEND
PGR,2019-04-04,0.1,DIVIDEND
GL,2019-04-04,0.1725,DIVIDEND
MMC,2019-04-09,0.415,DIVIDEND
LNC,2019-04-09,0.37,DIVIDEND
UNM,2019-04-26,0.26,DIVIDEND
AON,2019-04-30,0.44,DIVIDEND
MET,2019-05-06,0.44,DIVIDEND
AFL,2019-05-21,0.27,DIVIDEND
PRU,2019-05-24,1.0,DIVIDEND
RE,2019-05-28,1.4,DIVIDEND
L,2019-05-28,0.0625,DIVIDEND
ALL,2019-05-30,0.5,DIVIDEND
PFG,2019-05-31,0.54,DIVIDEND
HIG,2019-05-31,0.3,DIVIDEND
AJG,2019-06-06,0.43,DIVIDEND
TRV,2019-06-07,0.82,DIVIDEND
AIG,2019-06-13,0.32,DIVIDEND
CINF,2019-06-18,0.56,DIVIDEND
CB,2019-06-20,0.75,DIVIDEND
WLTW,2019-06-27,0.65,DIVIDEND
PGR,2019-07-03,0.1,DIVIDEND
GL,2019-07-03,0.1725,DIVIDEND
LNC,2019-07-09,0.37,DIVIDEND
MMC,2019-07-10,0.455,DIVIDEND
UNM,2019-07-26,0.285,DIVIDEND
AON,2019-07-31,0.44,DIVIDEND
MET,2019-08-05,0.44,DIVIDEND
PRU,2019-08-19,1.0,DIVIDEND
AFL,2019-08-20,0.27,DIVIDEND
L,2019-08-27,0.063,DIVIDEND
ALL,2019-08-29,0.5,DIVIDEND
HIG,2019-08-30,0.3,DIVIDEND
RE,2019-09-03,1.4,DIVIDEND
