FISCAL_YEAR,STATE,COMPANY,ASSETS_MILLIONS,LIABILITIES_MILLIONS,COURT_DISTRICT
2009,NV,"Station Casinos, Inc.",5725.0,6482.6,D
2009,ID,Sterling Mining Company,11.7,14.2,D
2009,CO,"Storm Cat Energy Corporation, et al.",154.8,154.5,D
2009,CO,"Tapestry Pharmaceuticals, Inc.",11.8,3.7,D
2009,NJ,Taragon Corporation,840.7,1.0,S
2009,KS,Team Financial Inc.,0.7,26.7,D
2009,CO,Telemetrix Inc. et al.,1.0,13.8,D
2009,FL,"Teleplus World, Corp.",10.8,21.2,SD
2009,AL,"The Colonial BancGroup, Inc.",45.0,380.0,MD
2009,MD,Thornburg Mortgage,24400.0,24700.0,D
2009,TX,"Transmeridian Exploration, Inc. et al.",377.9,451.7,SD
2009,DE,Triple Crown Media Inc.,33.1,85.9,D
2009,NY,Tronox Incorporated ,1557.0,1221.6,SD
2009,MD,TVI Corporation,23.3,37.3,D
2009,CA,"Tvia, Inc.",5.6,1.1,ND
2009,TX,TWL Corporation,14.3,37.6,ED
2009,TX,"TXCO Resources, Inc., et al.",431.9,322.8,WD
2009,TX,TXP Corporation,3.6,16.8,ND
2009,NY,U.S. Shipping Partners L.P.,717.4,606.5,SD
2009,DE,Velocity Express Corp.,94.1,120.6,D
2009,DE,Vermillion Inc.,7.2,32.0,D
2009,DE,Versun Energy Corp.,3453.0,1913.2,D
2009,CA,Vineyard National Bancorp,2098.7,449.7,CD
2009,GA,"Vubotics, Inc.",0.02,3.6,ND
2009,DE,Washington Mutual Inc.,32896.6,8167.0,D
2009,DE,"WCI Communications, Inc.",2178.2,1915.0,D
2009,DE,Worldspace Inc.,0.3,2.1,D
2009,IL,"Xechem International, Inc.",3.9,11.1,ND
