investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,endDate,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,otherCashflowsFromFinancingActivities,maxAge,changeToNetincome,symbol,depreciation,capitalExpenditures
"39,000,000","-454,000,000","-27,000,000","177,000,000","-140,000,000","-5,000,000",,"659,000,000","-56,000,000",,"-100,000,000","37,000,000","74,000,000",,"-96,000,000","-458,000,000","-121,000,000",1,"77,000,000",AON,"137,000,000","-57,000,000"
18000000,356000000,-53000000,-125000000,-444000000,-164000000,,345000000,172000000,1546214400,-198000000,-42000000,711000000,,-97000000,-116000000,-24000000,1,-46000000,AON,165000000,-61000000
18M,356M,-53M,-125M,-444M,-164M,,345M,172M,2018-12-31,-198M,-42M,711M,,-97M,-116M,-24M,1,-46M,AON,165M,-61M
"18,000,000","356,000,000","-53,000,000","-125,000,000","-444,000,000","-164,000,000",,"345,000,000","172,000,000",,"-198,000,000","-42,000,000","711,000,000",,"-97,000,000","-116,000,000","-24,000,000",1,"-46,000,000",AON,"165,000,000","-61,000,000"
-18000000,164000000,-95000000,-63000000,-457000000,-299000000,,147000000,-3000000,1538265600,-301000000,-13000000,562000000,,-98000000,360000000,5000000,1,42000000,AON,141000000,-68000000
-18M,164M,-95M,-63M,-457M,-299M,,147M,-3M,2018-09-30,-301M,-13M,562M,,-98M,360M,5M,1,42M,AON,141M,-68M
"-18,000,000","164,000,000","-95,000,000","-63,000,000","-457,000,000","-299,000,000",,"147,000,000","-3,000,000",,"-301,000,000","-13,000,000","562,000,000",,"-98,000,000","360,000,000","5,000,000",1,"42,000,000",AON,"141,000,000","-68,000,000"
-300000,-17400000,-591500000,195100000,112700000,133200000,32300000,110100000,5800000,1561852800,,-31200000,515800000,,-80100000,176600000,-34600000,1,28200000,AJG,115000000,-36000000
-300k,-17.4M,-591.5M,195.1M,112.7M,133.2M,32.3M,110.1M,5.8M,2019-06-30,,-31.2M,515.8M,,-80.1M,176.6M,-34.6M,1,28.2M,AJG,115M,-36M
"-300,000","-17,400,000","-591,500,000","195,100,000","112,700,000","133,200,000","32,300,000","110,100,000","5,800,000",,,"-31,200,000","515,800,000",,"-80,100,000","176,600,000","-34,600,000",1,"28,200,000",AJG,"115,000,000","-36,000,000"
-400000,-49200000,-141300000,574500000,507400000,786100000,32800000,334100000,304000000,1553990400,,34100000,-96200000,,-79600000,-1285600000,-20300000,1,-27600000,AJG,110500000,-39300000
-400k,-49.2M,-141.3M,574.5M,507.4M,786.1M,32.8M,334.1M,304M,2019-03-31,,34.1M,-96.2M,,-79.6M,-1.29B,-20.3M,1,-27.6M,AJG,110.5M,-39.3M
"-400,000","-49,200,000","-141,300,000","574,500,000","507,400,000","786,100,000","32,800,000","334,100,000","304,000,000",,,"34,100,000","-96,200,000",,"-79,600,000","-1,285,600,000","-20,300,000",1,"-27,600,000",AJG,"110,500,000","-39,300,000"
-15500000,-62200000,-256500000,98900000,5200000,124600000,12000000,117300000,-23700000,1546214400,,-32900000,260500000,,-75600000,-800000,-30100000,1,27400000,AJG,105900000,-33600000
-15.5M,-62.2M,-256.5M,98.9M,5.2M,124.6M,12M,117.3M,-23.7M,2018-12-31,,-32.9M,260.5M,,-75.6M,-800k,-30.1M,1,27.4M,AJG,105.9M,-33.6M
"-15,500,000","-62,200,000","-256,500,000","98,900,000","5,200,000","124,600,000","12,000,000","117,300,000","-23,700,000",,,"-32,900,000","260,500,000",,"-75,600,000","-800,000","-30,100,000",1,"27,400,000",AJG,"105,900,000","-33,600,000"
-400000,-21400000,-208100000,48500000,-44800000,-323200000,22200000,127600000,-84200000,1538265600,,-22600000,191300000,,-75300000,315000000,-40200000,1,-12800000,AJG,105100000,-28100000
-400k,-21.4M,-208.1M,48.5M,-44.8M,-323.2M,22.2M,127.6M,-84.2M,2018-09-30,,-22.6M,191.3M,,-75.3M,315M,-40.2M,1,-12.8M,AJG,105.1M,-28.1M
"-400,000","-21,400,000","-208,100,000","48,500,000","-44,800,000","-323,200,000","22,200,000","127,600,000","-84,200,000",,,"-22,600,000","191,300,000",,"-75,300,000","315,000,000","-40,200,000",1,"-12,800,000",AJG,"105,100,000","-28,100,000"
-1208000000,679000000,-1614000000,786000000,199000000,662000000,60000000,1150000000,-25000000,1561852800,-374000000,4000000,1386000000,-406000000,-335000000,-1121000000,62000000,1,189000000,CB,77000000,
-1.21B,679M,-1.61B,786M,199M,662M,60M,1.15B,-25M,2019-06-30,-374M,4M,1.39B,-406M,-335M,-1.12B,62M,1,189M,CB,77M,
"-1,208,000,000","679,000,000","-1,614,000,000","786,000,000","199,000,000","662,000,000","60,000,000","1,150,000,000","-25,000,000",,"-374,000,000","4,000,000","1,386,000,000","-406,000,000","-335,000,000","-1,121,000,000","62,000,000",1,"189,000,000",CB,"77,000,000",
-596000000,-228000000,-673000000,1000000,-630000000,-44000000,35000000,1040000000,53000000,1553990400,-367000000,34000000,1322000000,-77000000,-336000000,278000000,37000000,1,-66000000,CB,76000000,
-596M,-228M,-673M,1M,-630M,-44M,35M,1.04B,53M,2019-03-31,-367M,34M,1.32B,-77M,-336M,278M,37M,1,-66M,CB,76M,
"-596,000,000","-228,000,000","-673,000,000","1,000,000","-630,000,000","-44,000,000","35,000,000","1,040,000,000","53,000,000",,"-367,000,000","34,000,000","1,322,000,000","-77,000,000","-336,000,000","278,000,000","37,000,000",1,"-66,000,000",CB,"76,000,000",
-805000000,422000000,-808000000,4000000,-567000000,-501000000,29000000,355000000,183000000,1546214400,-312000000,-25000000,1583000000,-3000000,-336000000,93000000,48000000,1,1149000000,CB,86000000,
-805M,422M,-808M,4M,-567M,-501M,29M,355M,183M,2018-12-31,-312M,-25M,1.58B,-3M,-336M,93M,48M,1,1.15B,CB,86M,
"-805,000,000","422,000,000","-808,000,000","4,000,000","-567,000,000","-501,000,000","29,000,000","355,000,000","183,000,000",,"-312,000,000","-25,000,000","1,583,000,000","-3,000,000","-336,000,000","93,000,000","48,000,000",1,"1,149,000,000",CB,"86,000,000",
-1055000000,461000000,-867000000,-100000000,-775000000,250000000,26000000,1231000000,56000000,1538265600,-385000000,-2000000,1700000000,188000000,-340000000,55000000,24000000,1,-338000000,CB,83000000,
-1.05B,461M,-867M,-100M,-775M,250M,26M,1.23B,56M,2018-09-30,-385M,-2M,1.7B,188M,-340M,55M,24M,1,-338M,CB,83M,
"-1,055,000,000","461,000,000","-867,000,000","-100,000,000","-775,000,000","250,000,000","26,000,000","1,231,000,000","56,000,000",,"-385,000,000","-2,000,000","1,700,000,000","188,000,000","-340,000,000","55,000,000","24,000,000",1,"-338,000,000",CB,"83,000,000",
-149000000,179000000,-160000000,5000000,-115000000,112000000,4000000,428000000,1000000,1561852800,,,276000000,,-90000000,-136000000,-34000000,1,-271000000,CINF,17000000,-8000000
-149M,179M,-160M,5M,-115M,112M,4M,428M,1M,2019-06-30,,,276M,,-90M,-136M,-34M,1,-271M,CINF,17M,-8M
"-149,000,000","179,000,000","-160,000,000","5,000,000","-115,000,000","112,000,000","4,000,000","428,000,000","1,000,000",,,,"276,000,000",,"-90,000,000","-136,000,000","-34,000,000",1,"-271,000,000",CINF,"17,000,000","-8,000,000"
-50000000,113000000,-56000000,5000000,-126000000,-156000000,3000000,695000000,18000000,1553990400,,,200000000,,-85000000,-95000000,-44000000,1,-496000000,CINF,19000000,-5000000
-50M,113M,-56M,5M,-126M,-156M,3M,695M,18M,2019-03-31,,,200M,,-85M,-95M,-44M,1,-496M,CINF,19M,-5M
