investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,endDate,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,otherCashflowsFromFinancingActivities,maxAge,changeToNetincome,symbol,depreciation,capitalExpenditures
"-2,423,000,000",0,"-5,699,000,000","-22,000,000","2,316,000,000",,,"1,381,000,000","-1,315,000,000",,"-500,000,000","-4,000,000","2,072,000,000","-265,000,000","-437,000,000",,"3,275,000,000",1,"691,000,000",MET,,
8104000000,0,5358000000,-573000000,-3332000000,9073000000,,2067000000,3331000000,1546214400,-1200000000,4000000,1301000000,164000000,-472000000,-1809000000,-1087000000,1,-9598000000,MET,352000000,
8.1B,,5.36B,-573M,-3.33B,9.07B,,2.07B,3.33B,2018-12-31,-1.2B,4M,1.3B,164M,-472M,-1.81B,-1.09B,1,-9.6B,MET,352M,
"8,104,000,000",0,"5,358,000,000","-573,000,000","-3,332,000,000","9,073,000,000",,"2,067,000,000","3,331,000,000",,"-1,200,000,000","4,000,000","1,301,000,000","164,000,000","-472,000,000","-1,809,000,000","-1,087,000,000",1,"-9,598,000,000",MET,"352,000,000",
-3882000000,0,-6228000000,-1113000000,-1081000000,9073000000,,912000000,-3822000000,1538265600,-636000000,-46000000,3533000000,-341000000,-451000000,-1809000000,1119000000,1,2621000000,MET,352000000,
-3.88B,,-6.23B,-1.11B,-1.08B,9.07B,,912M,-3.82B,2018-09-30,-636M,-46M,3.53B,-341M,-451M,-1.81B,1.12B,1,2.62B,MET,352M,
"-3,882,000,000",0,"-6,228,000,000","-1,113,000,000","-1,081,000,000","9,073,000,000",,"912,000,000","-3,822,000,000",,"-636,000,000","-46,000,000","3,533,000,000","-341,000,000","-451,000,000","-1,809,000,000","1,119,000,000",1,"2,621,000,000",MET,"352,000,000",
-314000000,0,-852900000,528600000,407100000,983100000,16300000,386300000,1056200000,1561852800,-100000,,1502000000,,-150400000,119000000,12700000,1,-121700000,PFG,53200000,-36000000
-314M,,-852.9M,528.6M,407.1M,983.1M,16.3M,386.3M,1.06B,2019-06-30,-100k,,1.5B,,-150.4M,119M,12.7M,1,-121.7M,PFG,53.2M,-36M
"-314,000,000",0,"-852,900,000","528,600,000","407,100,000","983,100,000","16,300,000","386,300,000","1,056,200,000",,"-100,000",,"1,502,000,000",,"-150,400,000","119,000,000","12,700,000",1,"-121,700,000",PFG,"53,200,000","-36,000,000"
-1208500000,0,-1491100000,6500000,-403100000,915100000,5800000,429900000,-717800000,1553990400,-153600000,,1176400000,,-150200000,-189800000,-111600000,1,-154800000,PFG,51000000,-29400000
-1.21B,,-1.49B,6.5M,-403.1M,915.1M,5.8M,429.9M,-717.8M,2019-03-31,-153.6M,,1.18B,,-150.2M,-189.8M,-111.6M,1,-154.8M,PFG,51M,-29.4M
"-1,208,500,000",0,"-1,491,100,000","6,500,000","-403,100,000","915,100,000","5,800,000","429,900,000","-717,800,000",,"-153,600,000",,"1,176,400,000",,"-150,200,000","-189,800,000","-111,600,000",1,"-154,800,000",PFG,"51,000,000","-29,400,000"
-801200000,0,-1293800000,23000000,-98000000,867600000,11600000,236500000,50800000,1546214400,-210100000,,1442600000,,-152100000,71500000,229600000,1,-154800000,PFG,53200000,-18900000
-801.2M,,-1.29B,23M,-98M,867.6M,11.6M,236.5M,50.8M,2018-12-31,-210.1M,,1.44B,,-152.1M,71.5M,229.6M,1,-154.8M,PFG,53.2M,-18.9M
"-801,200,000",0,"-1,293,800,000","23,000,000","-98,000,000","867,600,000","11,600,000","236,500,000","50,800,000",,"-210,100,000",,"1,442,600,000",,"-152,100,000","71,500,000","229,600,000",1,"-154,800,000",PFG,"53,200,000","-18,900,000"
-1429300000,0,-2067200000,-3200000,576200000,1608800000,7800000,456300000,584700000,1538265600,-65000000,,2075700000,,-150700000,-60000000,787300000,1,-85900000,PFG,50700000,-29800000
-1.43B,,-2.07B,-3.2M,576.2M,1.61B,7.8M,456.3M,584.7M,2018-09-30,-65M,,2.08B,,-150.7M,-60M,787.3M,1,-85.9M,PFG,50.7M,-29.8M
"-1,429,300,000",0,"-2,067,200,000","-3,200,000","576,200,000","1,608,800,000","7,800,000","456,300,000","584,700,000",,"-65,000,000",,"2,075,700,000",,"-150,700,000","-60,000,000","787,300,000",1,"-85,900,000",PFG,"50,700,000","-29,800,000"
-1772700000,507400000,-1512900000,,-59100000,383000000,1600000,979400000,-65800000,1561852800,-2300000,,1506200000,380000000,-58400000,22700000,,1,-158500000,PGR,80000000,-127400000
-1.77B,507.4M,-1.51B,,-59.1M,383M,1.6M,979.4M,-65.8M,2019-06-30,-2.3M,,1.51B,380M,-58.4M,22.7M,,1,-158.5M,PGR,80M,-127.4M
"-1,772,700,000","507,400,000","-1,512,900,000",,"-59,100,000","383,000,000","1,600,000","979,400,000","-65,800,000",,"-2,300,000",,"1,506,200,000","380,000,000","-58,400,000","22,700,000",,1,"-158,500,000",PGR,"80,000,000","-127,400,000"
-125400000,1208600000,-277400000,,-1507400000,124100000,1600000,1078400000,83700000,1553990400,-26100000,,1868500000,-82400000,-1481300000,-692700000,,1,-385600000,PGR,70500000,-75800000
-125.4M,1.21B,-277.4M,,-1.51B,124.1M,1.6M,1.08B,83.7M,2019-03-31,-26.1M,,1.87B,-82.4M,-1.48B,-692.7M,,1,-385.6M,PGR,70.5M,-75.8M
"-125,400,000","1,208,600,000","-277,400,000",,"-1,507,400,000","124,100,000","1,600,000","1,078,400,000","83,700,000",,"-26,100,000",,"1,868,500,000","-82,400,000","-1,481,300,000","-692,700,000",,1,"-385,600,000",PGR,"70,500,000","-75,800,000"
-1576000000,-608900000,-1675200000,544500000,544200000,641300000,1600000,264700000,-47700000,1546214400,-300000,,1083300000,700000,-1481300000,279500000,,1,619800000,PGR,70600000,-101200000
-1.58B,-608.9M,-1.68B,544.5M,544.2M,641.3M,1.6M,264.7M,-47.7M,2018-12-31,-300k,,1.08B,700k,-1.48B,279.5M,,1,619.8M,PGR,70.6M,-101.2M
"-1,576,000,000","-608,900,000","-1,675,200,000","544,500,000","544,200,000","641,300,000","1,600,000","264,700,000","-47,700,000",,"-300,000",,"1,083,300,000","700,000","-1,481,300,000","279,500,000",,1,"619,800,000",PGR,"70,600,000","-101,200,000"
-1281100000,1095700000,-1700400000,544500000,-52800000,300900000,1600000,928400000,-35000000,1538265600,-39300000,,1718200000,-356900000,-13500000,-546400000,,1,-152600000,PGR,69200000,-62800000
-1.28B,1.1B,-1.7B,544.5M,-52.8M,300.9M,1.6M,928.4M,-35M,2018-09-30,-39.3M,,1.72B,-356.9M,-13.5M,-546.4M,,1,-152.6M,PGR,69.2M,-62.8M
"-1,281,100,000","1,095,700,000","-1,700,400,000","544,500,000","-52,800,000","300,900,000","1,600,000","928,400,000","-35,000,000",,"-39,300,000",,"1,718,200,000","-356,900,000","-13,500,000","-546,400,000",,1,"-152,600,000",PGR,"69,200,000","-62,800,000"
-3095000000,0,-2738000000,-445000000,-1805000000,4699000000,39000000,708000000,725000000,1561852800,-499000000,29000000,5239000000,444000000,-407000000,,-493000000,1,475000000,PRU,-109000000,
-3.1B,,-2.74B,-445M,-1.8B,4.7B,39M,708M,725M,2019-06-30,-499M,29M,5.24B,444M,-407M,,-493M,1,475M,PRU,-109M,
"-3,095,000,000",0,"-2,738,000,000","-445,000,000","-1,805,000,000","4,699,000,000","39,000,000","708,000,000","725,000,000",,"-499,000,000","29,000,000","5,239,000,000","444,000,000","-407,000,000",,"-493,000,000",1,"475,000,000",PRU,"-109,000,000",
-4301000000,0,-5299000000,1510000000,1566000000,920000000,36000000,932000000,-650000000,1553990400,-484000000,-2000000,3085000000,173000000,-420000000,,924000000,1,1061000000,PRU,20000000,
-4.3B,,-5.3B,1.51B,1.57B,920M,36M,932M,-650M,2019-03-31,-484M,-2M,3.08B,173M,-420M,,924M,1,1.06B,PRU,20M,
"-4,301,000,000",0,"-5,299,000,000","1,510,000,000","1,566,000,000","920,000,000","36,000,000","932,000,000","-650,000,000",,"-484,000,000","-2,000,000","3,085,000,000","173,000,000","-420,000,000",,"924,000,000",1,"1,061,000,000",PRU,"20,000,000",
-8541000000,0,-8687000000,96000000,-28000000,10578000000,25000000,842000000,2891000000,1546214400,-388000000,210000000,11396000000,-77000000,-374000000,,613000000,1,-316000000,PRU,116000000,
-8.54B,,-8.69B,96M,-28M,10.58B,25M,842M,2.89B,2018-12-31,-388M,210M,11.4B,-77M,-374M,,613M,1,-316M,PRU,116M,
"-8,541,000,000",0,"-8,687,000,000","96,000,000","-28,000,000","10,578,000,000","25,000,000","842,000,000","2,891,000,000",,"-388,000,000","210,000,000","11,396,000,000","-77,000,000","-374,000,000",,"613,000,000",1,"-316,000,000",PRU,"116,000,000",
-6083000000,0,-6452000000,1015000000,400000000,1667000000,33000000,1672000000,-2456000000,1538265600,-373000000,3000000,3593000000,298000000,-378000000,,103000000,1,288000000,PRU,-3000000,
-6.08B,,-6.45B,1.01B,400M,1.67B,33M,1.67B,-2.46B,2018-09-30,-373M,3M,3.59B,298M,-378M,,103M,1,288M,PRU,-3M,
"-6,083,000,000",0,"-6,452,000,000","1,015,000,000","400,000,000","1,667,000,000","33,000,000","1,672,000,000","-2,456,000,000",,"-373,000,000","3,000,000","3,593,000,000","298,000,000","-378,000,000",,"103,000,000",1,"288,000,000",PRU,"-3,000,000",
52000000,407000000,-115000000,-500000000,-979000000,-381000000,111000000,557000000,59000000,1561852800,-376000000,,1153000000,-159000000,-214000000,-345000000,,1,-409000000,TRV,190000000,
52M,407M,-115M,-500M,-979M,-381M,111M,557M,59M,2019-06-30,-376M,,1.15B,-159M,-214M,-345M,,1,-409M,TRV,190M,
"52,000,000","407,000,000","-115,000,000","-500,000,000","-979,000,000","-381,000,000","111,000,000","557,000,000","59,000,000",,"-376,000,000",,"1,153,000,000","-159,000,000","-214,000,000","-345,000,000",,1,"-409,000,000",TRV,"190,000,000",
-722000000,551000000,-586000000,492000000,-71000000,-1547000000,63000000,796000000,-16000000,1553990400,-421000000,2000000,639000000,213000000,-205000000,-434000000,,1,-55000000,TRV,211000000,
-722M,551M,-586M,492M,-71M,-1.55B,63M,796M,-16M,2019-03-31,-421M,2M,639M,213M,-205M,-434M,,1,-55M,TRV,211M,
"-722,000,000","551,000,000","-586,000,000","492,000,000","-71,000,000","-1,547,000,000","63,000,000","796,000,000","-16,000,000",,"-421,000,000","2,000,000","639,000,000","213,000,000","-205,000,000","-434,000,000",,1,"-55,000,000",TRV,"211,000,000",
-304000000,-385000000,-570000000,492000000,-358000000,-798000000,15000000,621000000,14000000,1546214400,-170000000,-6000000,948000000,-315000000,-203000000,115000000,,1,79000000,TRV,194000000,
-304M,-385M,-570M,492M,-358M,-798M,15M,621M,14M,2018-12-31,-170M,-6M,948M,-315M,-203M,115M,,1,79M,TRV,194M,
"-304,000,000","-385,000,000","-570,000,000","492,000,000","-358,000,000","-798,000,000","15,000,000","621,000,000","14,000,000",,"-170,000,000","-6,000,000","948,000,000","-315,000,000","-203,000,000","115,000,000",,1,"79,000,000",TRV,"194,000,000",
-1107000000,216000000,-1302000000,100000000,-488000000,-541000000,19000000,709000000,-56000000,1538265600,-400000000,-6000000,1734000000,-186000000,-207000000,152000000,,1,-117000000,TRV,198000000,
-1.11B,216M,-1.3B,100M,-488M,-541M,19M,709M,-56M,2018-09-30,-400M,-6M,1.73B,-186M,-207M,152M,,1,-117M,TRV,198M,
"-1,107,000,000","216,000,000","-1,302,000,000","100,000,000","-488,000,000","-541,000,000","19,000,000","709,000,000","-56,000,000",,"-400,000,000","-6,000,000","1,734,000,000","-186,000,000","-207,000,000","152,000,000",,1,"-117,000,000",TRV,"198,000,000",
-613100000,0,-642000000,380900000,214800000,185000000,2100000,281200000,-1300000,1561852800,-100200000,,425900000,7900000,-55200000,67900000,-12800000,1,-119300000,UNM,27500000,-36800000
-613.1M,,-642M,380.9M,214.8M,185M,2.1M,281.2M,-1.3M,2019-06-30,-100.2M,,425.9M,7.9M,-55.2M,67.9M,-12.8M,1,-119.3M,UNM,27.5M,-36.8M
"-613,100,000",0,"-642,000,000","380,900,000","214,800,000","185,000,000","2,100,000","281,200,000","-1,300,000",,"-100,200,000",,"425,900,000","7,900,000","-55,200,000","67,900,000","-12,800,000",1,"-119,300,000",UNM,"27,500,000","-36,800,000"
-229200000,0,-365200000,-15000000,-183500000,51800000,1400000,280900000,-31900000,1553990400,-100000000,,516800000,-107900000,-55700000,-10700000,-14200000,1,-85700000,UNM,27400000,-28100000
-229.2M,,-365.2M,-15M,-183.5M,51.8M,1.4M,280.9M,-31.9M,2019-03-31,-100M,,516.8M,-107.9M,-55.7M,-10.7M,-14.2M,1,-85.7M,UNM,27.4M,-28.1M
"-229,200,000",0,"-365,200,000","-15,000,000","-183,500,000","51,800,000","1,400,000","280,900,000","-31,900,000",,"-100,000,000",,"516,800,000","-107,900,000","-55,700,000","-10,700,000","-14,200,000",1,"-85,700,000",UNM,"27,400,000","-28,100,000"
-38700000,0,-342700000,-15000000,-230500000,27100000,1000000,249100000,-120200000,1546214400,-150400000,,453000000,-110100000,-55400000,85900000,-10700000,1,-3400000,UNM,26500000,-48500000
-38.7M,,-342.7M,-15M,-230.5M,27.1M,1M,249.1M,-120.2M,2018-12-31,-150.4M,,453M,-110.1M,-55.4M,85.9M,-10.7M,1,-3.4M,UNM,26.5M,-48.5M
"-38,700,000",0,"-342,700,000","-15,000,000","-230,500,000","27,100,000","1,000,000","249,100,000","-120,200,000",,"-150,400,000",,"453,000,000","-110,100,000","-55,400,000","85,900,000","-10,700,000",1,"-3,400,000",UNM,"26,500,000","-48,500,000"
119700000,0,14200000,-215000000,-286800000,840300000,1000000,-284700000,114700000,1538265600,-150400000,,387300000,-69500000,-56900000,-142900000,-15900000,1,50600000,UNM,25400000,-36000000
119.7M,,14.2M,-215M,-286.8M,840.3M,1M,-284.7M,114.7M,2018-09-30,-150.4M,,387.3M,-69.5M,-56.9M,-142.9M,-15.9M,1,50.6M,UNM,25.4M,-36M
"119,700,000",0,"14,200,000","-215,000,000","-286,800,000","840,300,000","1,000,000","-284,700,000","114,700,000",,"-150,400,000",,"387,300,000","-69,500,000","-56,900,000","-142,900,000","-15,900,000",1,"50,600,000",UNM,"25,400,000","-36,000,000"
,0,-73000000,-246000000,-456000000,-25000000,5000000,138000000,-180000000,1561852800,-63000000,-1000000,350000000,-6000000,-84000000,39000000,-68000000,1,16000000,WLTW,149000000,-63000000
,,-73M,-246M,-456M,-25M,5M,138M,-180M,2019-06-30,-63M,-1M,350M,-6M,-84M,39M,-68M,1,16M,WLTW,149M,-63M
,0,"-73,000,000","-246,000,000","-456,000,000","-25,000,000","5,000,000","138,000,000","-180,000,000",,"-63,000,000","-1,000,000","350,000,000","-6,000,000","-84,000,000","39,000,000","-68,000,000",1,"16,000,000",WLTW,"149,000,000","-63,000,000"
,0,-75000000,137000000,82000000,-406000000,22000000,287000000,-41000000,1553990400,-63000000,-1000000,-47000000,-6000000,-77000000,-121000000,-68000000,1,12000000,WLTW,149000000,-57000000
,,-75M,137M,82M,-406M,22M,287M,-41M,2019-03-31,-63M,-1M,-47M,-6M,-77M,-121M,-68M,1,12M,WLTW,149M,-57M
,0,"-75,000,000","137,000,000","82,000,000","-406,000,000","22,000,000","287,000,000","-41,000,000",,"-63,000,000","-1,000,000","-47,000,000","-6,000,000","-77,000,000","-121,000,000","-68,000,000",1,"12,000,000",WLTW,"149,000,000","-57,000,000"
,0,-101000000,-100000000,-361000000,309000000,24000000,378000000,102000000,1546214400,-201000000,-8000000,572000000,-1000000,-78000000,-264000000,-6000000,1,-28000000,WLTW,143000000,-59000000
,,-101M,-100M,-361M,309M,24M,378M,102M,2018-12-31,-201M,-8M,572M,-1M,-78M,-264M,-6M,1,-28M,WLTW,143M,-59M
,0,"-101,000,000","-100,000,000","-361,000,000","309,000,000","24,000,000","378,000,000","102,000,000",,"-201,000,000","-8,000,000","572,000,000","-1,000,000","-78,000,000","-264,000,000","-6,000,000",1,"-28,000,000",WLTW,"143,000,000","-59,000,000"
,0,-87000000,20000000,-207000000,-102000000,3000000,44000000,20000000,1538265600,-132000000,-7000000,321000000,-3000000,-79000000,251000000,-19000000,1,-54000000,WLTW,149000000,-68000000
,,-87M,20M,-207M,-102M,3M,44M,20M,2018-09-30,-132M,-7M,321M,-3M,-79M,251M,-19M,1,-54M,WLTW,149M,-68M
,0,"-87,000,000","20,000,000","-207,000,000","-102,000,000","3,000,000","44,000,000","20,000,000",,"-132,000,000","-7,000,000","321,000,000","-3,000,000","-79,000,000","251,000,000","-19,000,000",1,"-54,000,000",WLTW,"149,000,000","-68,000,000"
1784000000,0,1074000000,,1878000000,-673000000,,363000000,1721000000,1561852800,-150000000,,-1231000000,294000000,-76000000,54000000,2104000000,1,-927000000,LNC,29000000,
1.78B,,1.07B,,1.88B,-673M,,363M,1.72B,2019-06-30,-150M,,-1.23B,294M,-76M,54M,2.1B,1,-927M,LNC,29M,
"1,784,000,000",0,"1,074,000,000",,"1,878,000,000","-673,000,000",,"363,000,000","1,721,000,000",,"-150,000,000",,"-1,231,000,000","294,000,000","-76,000,000","54,000,000","2,104,000,000",1,"-927,000,000",LNC,"29,000,000",
-709000000,0,-1133000000,,1712000000,-768000000,,252000000,-752000000,1553990400,-150000000,,-1331000000,426000000,-77000000,-37000000,1939000000,1,-784000000,LNC,19000000,
-709M,,-1.13B,,1.71B,-768M,,252M,-752M,2019-03-31,-150M,,-1.33B,426M,-77M,-37M,1.94B,1,-784M,LNC,19M,
"-709,000,000",0,"-1,133,000,000",,"1,712,000,000","-768,000,000",,"252,000,000","-752,000,000",,"-150,000,000",,"-1,331,000,000","426,000,000","-77,000,000","-37,000,000","1,939,000,000",1,"-784,000,000",LNC,"19,000,000",
-1571000000,0,-1575000000,37000000,1551000000,1059000000,,399000000,885000000,1546214400,-625000000,,909000000,664000000,-72000000,22000000,2211000000,1,-667000000,LNC,1000000,
-1.57B,,-1.57B,37M,1.55B,1.06B,,399M,885M,2018-12-31,-625M,,909M,664M,-72M,22M,2.21B,1,-667M,LNC,1M,
"-1,571,000,000",0,"-1,575,000,000","37,000,000","1,551,000,000","1,059,000,000",,"399,000,000","885,000,000",,"-625,000,000",,"909,000,000","664,000,000","-72,000,000","22,000,000","2,211,000,000",1,"-667,000,000",LNC,"1,000,000",
-851000000,0,-1867000000,37000000,1150000000,-273000000,,490000000,-315000000,1538265600,-175000000,,402000000,-631000000,-72000000,-18000000,1397000000,1,164000000,LNC,2000000,
-851M,,-1.87B,37M,1.15B,-273M,,490M,-315M,2018-09-30,-175M,,402M,-631M,-72M,-18M,1.4B,1,164M,LNC,2M,
"-851,000,000",0,"-1,867,000,000","37,000,000","1,150,000,000","-273,000,000",,"490,000,000","-315,000,000",,"-175,000,000",,"402,000,000","-631,000,000","-72,000,000","-18,000,000","1,397,000,000",1,"164,000,000",LNC,"2,000,000",
178000000,0,-256000000,158000000,-36000000,152000000,,249000000,101000000,1561852800,-161000000,,393000000,-32000000,-19000000,-94000000,-14000000,1,196000000,L,15000000,-282000000
178M,,-256M,158M,-36M,152M,,249M,101M,2019-06-30,-161M,,393M,-32M,-19M,-94M,-14M,1,196M,L,15M,-282M
"178,000,000",0,"-256,000,000","158,000,000","-36,000,000","152,000,000",,"249,000,000","101,000,000",,"-161,000,000",,"393,000,000","-32,000,000","-19,000,000","-94,000,000","-14,000,000",1,"196,000,000",L,"15,000,000","-282,000,000"
584000000,0,300000000,-18000000,-449000000,-219000000,,394000000,-66000000,1553990400,-317000000,2000000,81000000,-61000000,-19000000,15000000,-95000000,1,355000000,L,16000000,-223000000
584M,,300M,-18M,-449M,-219M,,394M,-66M,2019-03-31,-317M,2M,81M,-61M,-19M,15M,-95M,1,355M,L,16M,-223M
"584,000,000",0,"300,000,000","-18,000,000","-449,000,000","-219,000,000",,"394,000,000","-66,000,000",,"-317,000,000","2,000,000","81,000,000","-61,000,000","-19,000,000","15,000,000","-95,000,000",1,"355,000,000",L,"16,000,000","-223,000,000"
-387000000,0,-727000000,-91000000,-260000000,432000000,,-165000000,-166000000,1546214400,-137000000,-6000000,827000000,-56000000,-20000000,-149000000,-12000000,1,-357000000,L,863000000,-264000000
-387M,,-727M,-91M,-260M,432M,,-165M,-166M,2018-12-31,-137M,-6M,827M,-56M,-20M,-149M,-12M,1,-357M,L,863M,-264M
"-387,000,000",0,"-727,000,000","-91,000,000","-260,000,000","432,000,000",,"-165,000,000","-166,000,000",,"-137,000,000","-6,000,000","827,000,000","-56,000,000","-20,000,000","-149,000,000","-12,000,000",1,"-357,000,000",L,"863,000,000","-264,000,000"
695000000,0,520000000,-15000000,-1647000000,-414000000,,278000000,118000000,1538265600,-90000000,1000000,1244000000,-28000000,-20000000,525000000,-1522000000,1,622000000,L,16000000,-251000000
695M,,520M,-15M,-1.65B,-414M,,278M,118M,2018-09-30,-90M,1M,1.24B,-28M,-20M,525M,-1.52B,1,622M,L,16M,-251M
"695,000,000",0,"520,000,000","-15,000,000","-1,647,000,000","-414,000,000",,"278,000,000","118,000,000",,"-90,000,000","1,000,000","1,244,000,000","-28,000,000","-20,000,000","525,000,000","-1,522,000,000",1,"622,000,000",L,"16,000,000","-251,000,000"
