intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,maxAge,longTermDebt,accountsPayable,symbol,goodWill,deferredLongTermAssetCharges,minorityInterest,deferredLongTermLiab
5.5B,3.31B,90.94B,19.38B,14.58B,112.25B,2018-12-31,9M,10.3B,45.71B,56.41B,-29.64B,13.2B,499M,28.08B,-1M,-1.56B,1.04B,20.19B,69.79B,16.14B,3.03B,6.15B,1,6.45B,13.51B,ALL,2.53B,57M,,
"5,497,000,000","3,310,000,000","90,937,000,000","19,382,000,000","14,576,000,000","112,249,000,000",,"9,000,000","10,304,000,000","45,708,000,000","56,406,000,000","-29,645,000,000","13,198,000,000","499,000,000","28,080,000,000","-1,000,000","-1,560,000,000","1,045,000,000","20,190,000,000","69,789,000,000","16,139,000,000","3,027,000,000","6,154,000,000",1,"6,451,000,000","13,505,000,000",ALL,"2,530,000,000","57,000,000",,
5222000000,3441000000,90857000000,21330000000,14716000000,114490000000,1538265600,9000000,9725000000,46178000000,41849000000,-28298000000,14081000000,460000000,42558000000,-1000000,-1287000000,1032000000,19657000000,72309000000,18586000000,3071000000,6196000000,1,6450000000,27843000000,ALL,2189000000,,,
5.22B,3.44B,90.86B,21.33B,14.72B,114.49B,2018-09-30,9M,9.72B,46.18B,41.85B,-28.3B,14.08B,460M,42.56B,-1M,-1.29B,1.03B,19.66B,72.31B,18.59B,3.07B,6.2B,1,6.45B,27.84B,ALL,2.19B,,,
"5,222,000,000","3,441,000,000","90,857,000,000","21,330,000,000","14,716,000,000","114,490,000,000",,"9,000,000","9,725,000,000","46,178,000,000","41,849,000,000","-28,298,000,000","14,081,000,000","460,000,000","42,558,000,000","-1,000,000","-1,287,000,000","1,032,000,000","19,657,000,000","72,309,000,000","18,586,000,000","3,071,000,000","6,196,000,000",1,"6,450,000,000","27,843,000,000",ALL,"2,189,000,000",,,
973000000,6002000000,25894000000,3836000000,13042000000,29807000000,1561852800,2000000,12528000000,1669000000,2674000000,-3837000000,2214000000,536300000,15481000000,1000000,-3837000000,1623000000,16745000000,54000000,-5335000000,180700000,3372000000,1,6740000000,1369000000,AON,8198000000,599000000,77000000,161000000
973M,6B,25.89B,3.84B,13.04B,29.81B,2019-06-30,2M,12.53B,1.67B,2.67B,-3.84B,2.21B,536.3M,15.48B,1M,-3.84B,1.62B,16.75B,54M,-5.33B,180.7M,3.37B,1,6.74B,1.37B,AON,8.2B,599M,77M,161M
"973,000,000","6,002,000,000","25,894,000,000","3,836,000,000","13,042,000,000","29,807,000,000",,"2,000,000","12,528,000,000","1,669,000,000","2,674,000,000","-3,837,000,000","2,214,000,000","536,300,000","15,481,000,000","1,000,000","-3,837,000,000","1,623,000,000","16,745,000,000","54,000,000","-5,335,000,000","180,700,000","3,372,000,000",1,"6,740,000,000","1,369,000,000",AON,"8,198,000,000","599,000,000","77,000,000","161,000,000"
1077000000,5958000000,24273000000,4775000000,12391000000,29135000000,1553990400,2000000,11858400000,2555000000,2718000000,-3740000000,2196000000,552000000,14537000000,3000000,-3740000000,1669000000,15919000000,55000000,-4521000000,77600000,3323000000,1,5990000000,1479000000,AON,8219000000,588000000,87000000,155000000
1.08B,5.96B,24.27B,4.78B,12.39B,29.14B,2019-03-31,2M,11.86B,2.56B,2.72B,-3.74B,2.2B,552M,14.54B,3M,-3.74B,1.67B,15.92B,55M,-4.52B,77.6M,3.32B,1,5.99B,1.48B,AON,8.22B,588M,87M,155M
