symbol,endDate,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,deferredLongTermLiab,goodWill,propertyPlantEquipment
HIG,2018/12/31,1327000000,4378000000,49206000000,12767000000,0,5297000000,62307000000,4000000,5204000000,11055000000,39097000000,-2670000000,6438000000,121000000,5844000000,1248000000,475000000,-1579000000,13606000000,38640000000,10820000000,4283000000,3997000000,4265000000,0,0,1290000000,1006000000
HIG,2018/09/30,1321000000,4385000000,48708000000,12729000000,0,5411000000,61437000000,4000000,4739000000,10973000000,38403000000,-2633000000,6524000000,102000000,6042000000,1244000000,464000000,-1519000000,12451000000,38854000000,10788000000,3540000000,4070000000,4263000000,0,0,1290000000,997000000
MMC,2019/06/30,3083000000,736000000,23779000000,8065000000,272000000,397000000,32116000000,561000000,404000000,14741000000,3957000000,-7973000000,3530000000,1294000000,6382000000,628000000,814000000,-4527000000,7526000000,683000000,-9497000000,0,5828000000,11459000000,2600000000,0,14479000000,2815000000
MMC,2019/03/31,1464000000,681000000,22151000000,7909000000,77000000,750000000,30137000000,561000000,6730000000,14642000000,3350000000,-7975000000,3272000000,1117000000,5739000000,680000000,814000000,-4590000000,12675000000,646000000,-3294000000,0,4828000000,11472000000,2244000000,0,9739000000,2341000000
MMC,2018/12/31,1872000000,817000000,13994000000,7511000000,73000000,598000000,21578000000,561000000,439000000,14347000000,3560000000,-8214000000,2811000000,1066000000,4924000000,680000000,314000000,-4647000000,5934000000,661000000,-3960000000,0,4429000000,5510000000,2234000000,0,9599000000,701000000
MMC,2018/09/30,1329000000,771000000,13591000000,7453000000,85000000,490000000,21129000000,561000000,400000000,14196000000,3352000000,-8075000000,3116000000,951000000,4727000000,497000000,563000000,-4488000000,5966000000,576000000,-3311000000,0,4615000000,5512000000,2193000000,0,9435000000,707000000
MET,2019/06/30,17880000000,32602000000,668121000000,63811000000,235000000,8392000000,732167000000,12000000,8870000000,31209000000,541196000000,-12000000,300211000000,18435000000,54944000000,0,201000000,11631000000,58529000000,344645000000,54403000000,2811000000,21764000000,70321000000,20839000000,0,9408000000,1494000000
MET,2019/03/31,18349000000,32535000000,654450000000,58509000000,229000000,10190000000,713188000000,12000000,8312000000,29944000000,530436000000,-3982000000,294989000000,14506000000,53395000000,0,285000000,6911000000,54594000000,334317000000,49091000000,4524000000,21823000000,68946000000,17547000000,0,9418000000,1521000000
MET,2018/12/31,20179000000,32474000000,634580000000,52741000000,217000000,4984000000,687538000000,12000000,9058000000,28926000000,518189000000,-8671000000,278416000000,15821000000,49355000000,0,415000000,1722000000,54754000000,323367000000,42035000000,3937000000,21095000000,67032000000,18893000000,210000000,9422000000,1400000000
MET,2018/09/30,19160000000,32475000000,646642000000,51625000000,184000000,4958000000,698451000000,12000000,8901000000,27331000000,527082000000,-8193000000,287305000000,12490000000,50933000000,0,647000000,1000000000,52079000000,330467000000,42185000000,5231000000,21410000000,68627000000,18963000000,0,9440000000,0
PFG,2019/06/30,4820200000,10130700000,253511500000,14034700000,371800000,360000000,267918000000,4800000,756400000,10805800000,246724400000,-6906600000,182980800000,3315900000,2787300000,0,41700000,647700000,7366100000,70679900000,11622500000,0,2408100000,3762400000,2308800000,147400000,1111500000,959500000
PFG,2019/03/31,4926800000,10090800000,246120000000,12694400000,605500000,290500000,259419900000,4800000,761900000,10571900000,240002400000,-7973100000,177457700000,2259700000,2646100000,0,35700000,-418900000,6320100000,68671500000,10273500000,0,2492000000,3266400000,2276000000,142600000,1110600000,933200000
PFG,2018/12/31,5008600000,10060700000,231188900000,11390000000,457200000,445400000,243036100000,4800000,1653400000,10290200000,225149600000,-8965700000,164544400000,2977500000,2806400000,0,65400000,-1565100000,6880600000,64735200000,8974900000,0,1505600000,3232900000,2252700000,137600000,1100000000,767300000
PFG,2018/09/30,5025800000,10026200000,246841100000,11700800000,216400000,384000000,258758300000,4800000,758400000,10207900000,240909500000,-8538100000,180148000000,2926700000,2686100000,0,53700000,-1347600000,6829300000,64855900000,9218200000,0,2414700000,3245500000,2212300000,141400000,1128700000,770600000
PGR,2019/06/30,1306100000,1523300000,37773300000,12836900000,220100000,11947000000,51324200000,584100000,3297200000,10276400000,438000000,453100000,492600000,91900000,32725100000,0,0,453100000,12255100000,35453700000,12125500000,1360900000,7167100000,4406000000,20778100000,0,452700000,1364000000
PGR,2019/03/31,1275800000,1496600000,36518400000,11616800000,221200000,12083900000,48850300000,584000000,3068200000,9358100000,38500000,178100000,417700000,158000000,31863100000,0,0,178100000,13447400000,31927800000,10887400000,2584700000,7189800000,4405400000,19779200000,0,452700000,1328900000
