researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,maxAge,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,symbol
,,421M,68M,345M,158M,1.28B,988M,2018-12-31,988M,,-70M,,,,137M,2.77B,1.78B,1.49B,-567M,1,69M,284M,345M,AON
,,"421,000,000","68,000,000","345,000,000","158,000,000","1,285,000,000","988,000,000",,"988,000,000",,"-70,000,000",,,,"137,000,000","2,770,000,000","1,782,000,000","1,485,000,000","-567,000,000",1,"69,000,000","284,000,000","345,000,000",AON
,,194000000,66000000,147000000,580000000,957000000,237000000,1538265600,237000000,,-69000000,,,,39000000,2349000000,2112000000,1392000000,-43000000,1,-2000000,155000000,147000000,AON
,,194M,66M,147M,580M,957M,237M,2018-09-30,237M,,-69M,,,,39M,2.35B,2.11B,1.39B,-43M,1,-2M,155M,147M,AON
,,"194,000,000","66,000,000","147,000,000","580,000,000","957,000,000","237,000,000",,"237,000,000",,"-69,000,000",,,,"39,000,000","2,349,000,000","2,112,000,000","1,392,000,000","-43,000,000",1,"-2,000,000","155,000,000","147,000,000",AON
,,105500000,68400000,110100000,250900000,524400000,158500000,1561852800,158500000,,-44900000,,,,-15900000,1603200000,1444700000,1078800000,-52900000,1,,121400000,110100000,AJG
,,105.5M,68.4M,110.1M,250.9M,524.4M,158.5M,2019-06-30,158.5M,,-44.9M,,,,-15.9M,1.6B,1.44B,1.08B,-52.9M,1,,121.4M,110.1M,AJG
,,"105,500,000","68,400,000","110,100,000","250,900,000","524,400,000","158,500,000",,"158,500,000",,"-44,900,000",,,,"-15,900,000","1,603,200,000","1,444,700,000","1,078,800,000","-52,900,000",1,,"121,400,000","110,100,000",AJG
,,321800000,77900000,334100000,254400000,667700000,302800000,1553990400,302800000,,-40200000,,,,-29900000,1882100000,1579300000,1214400000,19000000,1,,351700000,334100000,AJG
,,321.8M,77.9M,334.1M,254.4M,667.7M,302.8M,2019-03-31,302.8M,,-40.2M,,,,-29.9M,1.88B,1.58B,1.21B,19M,1,,351.7M,334.1M,AJG
,,"321,800,000","77,900,000","334,100,000","254,400,000","667,700,000","302,800,000",,"302,800,000",,"-40,200,000",,,,"-29,900,000","1,882,100,000","1,579,300,000","1,214,400,000","19,000,000",1,,"351,700,000","334,100,000",AJG
,,43200000,70800000,117300000,230200000,420700000,84600000,1546214400,84600000,,-36500000,,,,-84600000,1599800000,1515200000,1179100000,-41400000,1,,127800000,117300000,AJG
,,43.2M,70.8M,117.3M,230.2M,420.7M,84.6M,2018-12-31,84.6M,,-36.5M,,,,-84.6M,1.6B,1.52B,1.18B,-41.4M,1,,127.8M,117.3M,AJG
,,"43,200,000","70,800,000","117,300,000","230,200,000","420,700,000","84,600,000",,"84,600,000",,"-36,500,000",,,,"-84,600,000","1,599,800,000","1,515,200,000","1,179,100,000","-41,400,000",1,,"127,800,000","117,300,000",AJG
,,90300000,68200000,127600000,223900000,469700000,140700000,1538265600,140700000,,-36700000,,,,-48100000,1722300000,1581600000,1252600000,-50400000,1,,138400000,127600000,AJG
,,90.3M,68.2M,127.6M,223.9M,469.7M,140.7M,2018-09-30,140.7M,,-36.7M,,,,-48.1M,1.72B,1.58B,1.25B,-50.4M,1,,138.4M,127.6M,AJG
,,"90,300,000","68,200,000","127,600,000","223,900,000","469,700,000","140,700,000",,"140,700,000",,"-36,700,000",,,,"-48,100,000","1,722,300,000","1,581,600,000","1,252,600,000","-50,400,000",1,,"138,400,000","127,600,000",AJG
,,1358000000,,1150000000,758000000,2104000000,1252000000,1561852800,1252000000,17000000,-140000000,,,,208000000,8524000000,7272000000,6420000000,106000000,1,,1150000000,1150000000,CB
,,1.36B,,1.15B,758M,2.1B,1.25B,2019-06-30,1.25B,17M,-140M,,,,208M,8.52B,7.27B,6.42B,106M,1,,1.15B,1.15B,CB
,,"1,358,000,000",,"1,150,000,000","758,000,000","2,104,000,000","1,252,000,000",,"1,252,000,000","17,000,000","-140,000,000",,,,"208,000,000","8,524,000,000","7,272,000,000","6,420,000,000","106,000,000",1,,"1,150,000,000","1,150,000,000",CB
,,1228000000,,1040000000,710000000,2148000000,1349000000,1553990400,1349000000,13000000,-140000000,,,,188000000,7906000000,6557000000,5758000000,-121000000,1,,1040000000,1040000000,CB
,,1.23B,,1.04B,710M,2.15B,1.35B,2019-03-31,1.35B,13M,-140M,,,,188M,7.91B,6.56B,5.76B,-121M,1,,1.04B,1.04B,CB
